素材資源關聯報表
2026年8月1日 - 2026年8月31日
素材資源狀態,素材資源,等級,狀態,狀態理由,新增者：,上次更新時間,貨幣代碼,TrueView 平均單次收視出價,平均千次曝光出價,互動,互動率,平均費用,曝光,費用,點擊,轉換率,轉換,單次轉換費用
已啟用,"OnOn泱泱自然—園區導引
https://famwood.com.tw/",廣告活動,待處理,審核中,廣告主,2026年1月16日 上午10:16,TWD,0,1075.07,91,6.02%,17.85,"1,511",1624.43,91,0.00%,0.00,0
已啟用,"全新微型屋風潮，案例分享
https://famwood.com.tw/album.php?page=1",廣告活動,待處理,審核中,廣告主,2026年1月16日 上午10:16,TWD,0,1840.59,249,9.23%,19.94,"2,698",4965.92,249,0.00%,0.00,0
已啟用,"全新微型屋風潮，案例分享
https://famwood.com.tw/album.php?page=1",廣告活動,待處理,審核中,廣告主,2025年12月24日 下午1:29,TWD,0,991.91,564,10.60%,9.36,"5,323",5279.96,564,0.00%,0.00,0
已啟用,"預約參觀—親臨泱泱自然園區
https://famwood.com.tw/",廣告活動,待處理,審核中,廣告主,2026年1月16日 上午10:16,TWD,0,1495.89,154,7.77%,19.25,"1,982",2964.85,154,0.00%,0.00,0
已啟用,"預約參觀—親臨泱泱自然園區
https://famwood.com.tw/",廣告活動,待處理,審核中,廣告主,2025年12月24日 下午1:29,TWD,0,591.17,232,6.60%,8.95,"3,513",2076.77,232,0.00%,0.00,0
已啟用,"OnOn泱泱自然—園區導引
https://famwood.com.tw/",廣告活動,待處理,審核中,廣告主,2025年12月24日 下午1:29,TWD,0,727.85,230,8.09%,8.99,"2,842",2068.55,230,0.00%,0.00,0
已啟用,"多元格局，專屬茶屋湯庭
https://famwood.com.tw/news-item.php?id=50",廣告活動,待處理,審核中,廣告主,2026年1月16日 上午10:16,TWD,0,1674.35,201,8.80%,19.03,"2,285",3825.90,201,0.00%,0.00,0
已啟用,"多元格局，專屬茶屋湯庭
https://famwood.com.tw/news-item.php?id=50",廣告活動,待處理,審核中,廣告主,2025年12月24日 下午1:29,TWD,0,762.17,344,8.36%,9.12,"4,115",3136.33,344,0.00%,0.00,0
