# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-報表
# 20260801-20260831
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計,總計
網頁標題與畫面名稱,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,使用者重要事件發生率,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,使用者重要事件發生率
【設計家】 住在移動的小城堡 友善土地食農整合宅,2,3,2,229.91395500000002,0.6666666666666666,0,0,2,3,2,229.91395500000002,0.6666666666666666,0,0
八大新聞 ＜壯世代新生活＞,3,3,2,17.425491333333333,0.6666666666666666,0,0,3,3,2,17.425491333333333,0.6666666666666666,0,0
Mobilna chata – Naturalny Czerwony Dom,1,1,1,305.101828,1,1,1,1,1,1,305.101828,1,1,1
Natural Red House,1,1,1,88.520554,1,0,0,1,1,1,88.520554,1,0,0
Red House Log,1,1,1,112.828463,1,0,0,1,1,1,112.828463,1,0,0
The alternative house,1,1,1,13.591142,1,0,0,1,1,1,13.591142,1,0,0
Wizyta w domku – Naturalny Czerwony Dom,1,1,1,70.401568,1,0,0,1,1,1,70.401568,1,0,0
「小建築」的生活實驗,1,2,1,5.445357,0.5,0,0,1,2,1,5.445357,0.5,0,0
【50+生活誌】15坪的療癒幸福！謝東興：50後蓋小木屋，房子可小但自然要大,2,3,1,144.94790933333334,0.3333333333333333,0,0,2,3,1,144.94790933333334,0.3333333333333333,0,0
【iBT數位建築雜誌】“Tiny house”小建築風潮　行動木屋組出住宅新型式,1,1,1,59.751572,1,0,0,1,1,1,59.751572,1,0,0
【宥勝去哪兒】 蓋屋前準備！瘋狂迷你屋圓夢計劃(二),1,1,1,38.108376,1,0,0,1,1,1,38.108376,1,0,0
【宥勝去哪兒】 蓋房子只花兩小時！？迷你屋計畫(四),1,1,1,5.619531,1,0,0,1,1,1,5.619531,1,0,0
下載專區 - 自然紅屋｜FAMWOOD,1,1,1,919.456233,1,0,0,1,1,1,919.456233,1,0,0
品咖啡的心境-6,1,1,1,3.958909,1,0,0,1,1,1,3.958909,1,0,0
品咖啡的心境-6 | 相關文章,1,1,1,0.010543,1,0,0,1,1,1,0.010543,1,0,0
如果有一種自由，從小小木造房子開始 生活的自由，從思考你的居住空間開始,2,2,1,15.223312,0.5,0,0,2,2,1,15.223312,0.5,0,0
絨毛經典個人沙發,1,1,1,10.72535,1,0,0,1,1,1,10.72535,1,0,0
自然红屋｜FAMWOOD,2,2,1,168.3451445,0.5,0,0,2,2,1,168.3451445,0.5,0,0
食農整合-下鄉住,1,1,1,25.545498,1,0,0,1,1,1,25.545498,1,0,0
Natural Red House | FAMWOOD,1,1,0,5.576063,0,0,0,1,1,0,5.576063,0,0,0
「伴農共老」的新願景 「一小屋。半畝田 一群人。桃花源」,1,2,0,4.2056255,0,0,0,1,2,0,4.2056255,0,0,0
【TVBS】5坪大現代農舍　民眾試住後再買,1,1,0,19.746863,0,0,0,1,1,0,19.746863,0,0,0
【宥勝去哪兒】 一起來去挑房子！瘋狂迷你屋圓夢計劃 (一),1,1,0,5.460779,0,0,0,1,1,0,5.460779,0,0,0
大學生對微屋運動的高度關注！vs自然紅屋 (輔仁大學 feat.公視),1,2,0,0,0,0,0,1,2,0,0,0,0,0
消息推廣 - 自然紅屋,1,2,0,0,0,0,0,1,2,0,0,0,0,0

