分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-01,2026-08-05,"35-60 / 中部 / 露營興趣",inactive,0,0,,,,,,,0,200,每日,0,0,0,2025-12-19,進行中
2026-07-01,2026-08-05,"35-65 / 中部 / 綠生活組合屋",inactive,0,0,,,,,,,0,150,每日,0,0,0,2025-12-19,進行中
2026-07-01,2026-08-05,"35-65 / 中彰投 / 企業主戶外",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-02-15,進行中
2026-07-01,2026-08-05,"35-65 / 桃竹苗 / 鄉村休閒",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-02-15,進行中
2026-07-01,2026-08-05,"35-65 / 豐原東勢清水 / 渡假旅遊高爾夫(0327調)",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-03-18,進行中
2026-07-01,2026-08-05,"35-65 / 大溪龍潭楊梅 / 登山高爾夫",inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-03-18,進行中
2026-07-01,2026-08-05,"35-65 / 竹北東區 / 科技業興趣",inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-03-18,進行中
2026-07-01,2026-08-05,"35-65 / 大台中 / 企業主戶外(0327+地點興趣)",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-03-24,進行中
2026-07-01,2026-08-05,"35-65 / 湖口竹北東區 / 露營興趣(0327+地點)",not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-03-24,進行中
2026-07-01,2026-08-05,"35-65 / 彰化南投 / 度假郵輪大自然",inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-03-27,進行中
2026-07-01,2026-08-05,"35-65 / 台中 / 鄉村休閒/老闆",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-04-07,進行中
2026-07-01,2026-08-05,"35-65 / 台南高雄 / 長輩休閒",not_delivering,0,0,,,,,,,0,300,每日,0,0,0,2026-04-07,進行中
2026-07-01,2026-08-05,"35-65 / 台中山區 / 鄉村休閒/老闆(0410改點)",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-04-08,進行中
2026-07-01,2026-08-05,"35-65 / 竹北+8K / 露營興趣",inactive,0,0,,,,,,,0,300,每日,0,0,0,2026-04-08,進行中
