分析報告開始,分析報告結束,行銷活動名稱,行銷活動投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-03-12,2026-07-21,202603_景立方(層峰)_名單,inactive,36035,16949,1,1,6,2120.16666667,actions:leadgen.other,12721,使用廣告組合預算,0,578,1.603996,2.126084,2026-03-12,進行中
2026-03-12,2026-07-21,202603_景立方(層峰)_名單_好市多+3,inactive,12149,5873,,1,8,549.375,actions:leadgen.other,4395,100,每日,180,1.481603,2.068619,2026-03-31,進行中
2026-03-12,2026-07-21,202603_景立方(層峰)_名單_再行銷,inactive,805,555,,,,,,602,300,每日,27,3.354037,1.45045,2026-03-31,進行中
2026-03-12,2026-07-21,202603_景立方(層峰)_名單_北屯潭子+3,inactive,6544,3989,1,,2,1168.5,actions:leadgen.other,2337,300,每日,103,1.573961,1.640511,2026-04-01,進行中
2026-03-12,2026-07-21,202603_景立方(層峰)_名單_彰化,inactive,5196,3245,,,2,815.5,actions:leadgen.other,1631,300,每日,79,1.5204,1.601233,2026-04-02,進行中
2026-03-12,2026-07-21,202604_景立方(層峰)_名單,inactive,14911,6565,,,13,847.76923077,actions:leadgen.other,11021,使用廣告組合預算,0,324,2.172893,2.271287,2026-04-14,進行中
2026-03-12,2026-07-21,202604_景立方(層峰)_互動,inactive,22419,12876,1,,,7.32048682,actions:post_interaction_gross,3609,50,每日,376,1.677149,1.741146,2026-04-30,進行中
