分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2026-04-09,2026-06-01,28-55/中科/高科技興趣,inactive,13361,8320,1,,6,406.33333333,actions:leadgen.other,2438,3000,總經費,357,1.605889,2.671956,2026-05-05,2026-05-15
2026-04-09,2026-06-01,"25-55/中清洲際 /零售傳產成家",inactive,2153,1901,,,,,,350,3000,總經費,56,1.132562,2.601022,2026-05-06,2026-05-16
2026-04-09,2026-06-01,"28-55 / 洲際+4 / 房地產/股票",inactive,11379,8410,,,4,514.5,actions:leadgen.other,2058,300,每日,313,1.353032,2.750681,2026-05-19,進行中
2026-04-09,2026-06-01,"28-55 / 洲際+4 / 年輕人興趣",inactive,9111,6509,2,,3,595,actions:leadgen.other,1785,300,每日,264,1.399754,2.897596,2026-05-19,進行中
2026-04-09,2026-06-01,"28-60 / 竹科 / 科技業/股票",inactive,6663,2931,3,2,1,1501,actions:leadgen.other,1501,300,每日,142,2.273286,2.131172,2026-05-20,進行中
2026-04-09,2026-06-01,"28-60 / 彰市台中市區 / 置產客",inactive,2700,2338,3,,,,,675,300,每日,76,1.154833,2.814815,2026-05-20,進行中
2026-04-09,2026-06-01,"28-60 / 東區太平 / 上班族/成家",inactive,7654,4977,,,2,922.5,actions:leadgen.other,1845,300,每日,192,1.537874,2.508492,2026-05-20,進行中
2026-04-09,2026-06-01,"27-55 / 十期東區 / 餐廳/串流媒體",inactive,2638,2321,,,,,,550,300,每日,72,1.136579,2.72934,2026-05-20,進行中
2026-04-09,2026-06-01,"27-55 / 十期 / 新婚成家教育",inactive,16390,11363,2,2,6,504.83333333,actions:leadgen.other,3029,300,每日,363,1.442401,2.214765,2026-05-20,進行中
2026-04-09,2026-06-01,"28-55 / 洲際+4 / 旅遊/露營",inactive,6670,5035,,,1,1404,actions:leadgen.other,1404,300,每日,147,1.324727,2.203898,2026-05-22,進行中
2026-04-09,2026-06-01,"27-55 / 十期 / 公務員/理財",inactive,6528,4938,,,3,468,actions:leadgen.other,1404,300,每日,138,1.321993,2.113971,2026-05-22,進行中
2026-04-09,2026-06-01,"27-55 / 十期 /金融投資",inactive,5653,3328,,,1,1343,actions:leadgen.other,1343,300,每日,121,1.698618,2.140456,2026-05-23,進行中
2026-04-09,2026-06-01,"35-60 / 南屯西屯烏日 / 置產客/精品/進口代理",active,8569,7049,4,2,3,692,actions:leadgen.other,2076,300,每日,331,1.215633,3.862761,2026-05-25,進行中
2026-04-09,2026-06-01,"40-65 / 西屯北屯 / 置產客/高爾夫/豪車",inactive,5240,4096,,,1,1067,actions:leadgen.other,1067,300,每日,122,1.279297,2.328244,2026-05-25,進行中
2026-04-09,2026-06-01,"35-60 / 中科 / 工程師/主管",active,11447,8103,1,1,6,315.33333333,actions:leadgen.other,1892,300,每日,250,1.412687,2.183978,2026-05-26,進行中
2026-04-09,2026-06-01,"35-60 / 中科 / 主管/旅遊/投資置產",active,7810,5477,,1,6,260.83333333,actions:leadgen.other,1565,300,每日,166,1.425963,2.12548,2026-05-27,進行中
2026-04-09,2026-06-01,"35-60 / 水湳中科 / 置產客/高學歷/生物科技",active,4743,3424,,,1,1208,actions:leadgen.other,1208,300,每日,113,1.385222,2.382458,2026-05-28,進行中
2026-04-09,2026-06-01,"35-60 / 南屯西屯烏日 / 置產客/常旅行/投資者(備)",active,3893,3402,,,1,895,actions:leadgen.other,895,300,每日,125,1.144327,3.210891,2026-05-29,進行中
2026-04-09,2026-06-01,28-64/台中+彰化/純房產_高效,inactive,2273,1900,,,,,,417,4000,總經費,82,1.196316,3.607567,2026-05-07,2026-05-17
2026-04-09,2026-06-01,28-64/台中+彰化/純股票_高效,inactive,2249,1950,,,,,,457,4000,總經費,60,1.153333,2.667852,2026-05-07,2026-05-17
2026-04-09,2026-06-01,"30-65 / 74沿線 / 業務 通勤需求 房地產興趣(0511排除IG)",inactive,6831,4903,3,,3,430.33333333,actions:leadgen.other,1291,3000,總經費,184,1.393229,2.693603,2026-05-08,2026-05-18
2026-04-09,2026-06-01,"30-60 / 中清文心 / 二代/自營商",inactive,3694,2797,,,1,717,actions:leadgen.other,717,3000,總經費,95,1.320701,2.571738,2026-05-08,2026-05-19
2026-04-09,2026-06-01,"30-60 / 北屯潭子 / 汽車市場/技師",inactive,4083,3188,,,,,,738,3000,總經費,96,1.28074,2.351212,2026-05-08,2026-05-19
2026-04-09,2026-06-01,"30–50 / 東區北區大里 / 北屯在地換屋首購菁英",inactive,1892,1655,,,,,,320,2500,總經費,47,1.143202,2.484144,2026-05-12,2026-05-23
2026-04-09,2026-06-01,"30–50 / 北區北屯 / 法律相關執業者+運動",inactive,1400,1292,,,,,,338,2500,總經費,47,1.083591,3.357143,2026-05-12,2026-05-23
2026-04-09,2026-06-01,30-60/中科潭子/律師興趣/咖啡/電動車,inactive,6758,4983,3,1,1,1494,actions:leadgen.other,1494,3000,總經費,199,1.356211,2.944658,2026-05-13,2026-05-24
2026-04-09,2026-06-01,32-60/水湳+5K/工程師/國外旅遊/收藏/教育,inactive,6476,4529,2,,1,1486,actions:leadgen.other,1486,3000,總經費,138,1.429896,2.130945,2026-05-13,2026-05-24
2026-04-09,2026-06-01,32-60/北屯西屯/雙語教育/出國常客/高級運動,inactive,7961,5778,,,2,734,actions:leadgen.other,1468,3000,總經費,207,1.377812,2.600176,2026-05-13,2026-05-24
