分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,頻率,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（連結點閱率）,開始,結束時間,廣告組合預算,廣告組合預算類型
2026-04-09,2026-06-08,"27-55 / 十期東區 / 餐廳/串流媒體",inactive,2638,1.136579,2321,,,,,,550,72,0.682335,2026-05-20,進行中,300,每日
2026-04-09,2026-06-08,"27-55 / 十期 / 新婚成家教育",inactive,16390,1.442401,11363,2,2,6,504.83333333,actions:leadgen.other,3029,363,0.591824,2026-05-20,進行中,300,每日
2026-04-09,2026-06-08,"28-55 / 洲際+4 / 旅遊/露營",inactive,6670,1.324727,5035,,,1,1404,actions:leadgen.other,1404,147,0.794603,2026-05-22,進行中,300,每日
2026-04-09,2026-06-08,"27-55 / 十期 / 公務員/理財",inactive,6528,1.321993,4938,,,3,468,actions:leadgen.other,1404,138,0.566789,2026-05-22,進行中,300,每日
2026-04-09,2026-06-08,"27-55 / 十期 /金融投資",inactive,5653,1.698618,3328,,,1,1343,actions:leadgen.other,1343,121,0.796038,2026-05-23,進行中,300,每日
2026-04-09,2026-06-08,"30-55 / 洲際+8K / 置產客/雙語/國際學校",inactive,13099,1.266705,10341,6,2,5,421.2,actions:leadgen.other,2106,300,0.603099,2026-05-25,進行中,300,每日
2026-04-09,2026-06-08,"35-60 / 南屯西屯烏日 / 置產客/精品/進口代理",inactive,8589,1.216917,7058,4,2,3,694.33333333,actions:leadgen.other,2083,332,0.605426,2026-05-25,進行中,300,每日
2026-04-09,2026-06-08,"40-65 / 西屯北屯 / 置產客/高爾夫/豪車",inactive,5240,1.279297,4096,,,1,1067,actions:leadgen.other,1067,122,0.763359,2026-05-25,進行中,300,每日
2026-04-09,2026-06-08,"35-60 / 中科 / 工程師/主管(0601擴大)",inactive,15384,1.568995,9805,2,1,7,377.85714286,actions:leadgen.other,2645,331,0.734529,2026-05-26,進行中,250,每日
2026-04-09,2026-06-08,"30-55 / 洲際+5 / 投資置產/會計師/政府(0601擴大)",inactive,12817,1.50877,8495,6,3,8,364.75,actions:leadgen.other,2918,305,0.709995,2026-05-26,進行中,250,每日
2026-04-09,2026-06-08,"35-60 / 中科 / 主管/旅遊/投資置產",active,16494,1.628233,10130,1,3,11,299.27272727,actions:leadgen.other,3292,455,0.588093,2026-05-27,進行中,250,每日
2026-04-09,2026-06-08,"35-60 / 水湳中科 / 置產客/高學歷/生物科技",inactive,4757,1.388905,3425,,,1,1211,actions:leadgen.other,1211,113,0.525541,2026-05-28,進行中,300,每日
2026-04-09,2026-06-08,"35-60 / 南屯西屯烏日 / 置產客/常旅行/投資者",inactive,5657,1.249337,4528,,,1,1243,actions:leadgen.other,1243,157,0.724766,2026-05-29,進行中,300,每日
2026-04-09,2026-06-08,35-60/洲際+5/主管/旅遊/投資置產,inactive,5052,1.515752,3333,2,,3,477.33333333,actions:leadgen.other,1432,122,0.514648,2026-06-01,進行中,250,每日
2026-04-09,2026-06-08,30-60/中科水湳/金融科技/投資置產,active,4844,1.391954,3480,,,3,327,actions:leadgen.other,981,114,0.763832,2026-06-04,進行中,250,每日
2026-04-09,2026-06-08,"30-55 / 洲際+8K / 置產客/高消費",inactive,3858,1.170155,3297,1,,1,758,actions:leadgen.other,758,106,0.570244,2026-06-05,進行中,250,每日
2026-04-09,2026-06-08,"28-55 / 洲際 / 年輕人興趣(0511純洲際",inactive,11627,1.475695,7879,5,3,6,409.83333333,actions:leadgen.other,2459,327,0.662252,2026-05-05,2026-05-15,3000,總經費
2026-04-09,2026-06-08,28-55/北屯潭子/在地剛需,inactive,8224,1.337453,6149,3,,3,619.66666667,actions:leadgen.other,1859,249,0.753891,2026-05-05,2026-05-15,3000,總經費
2026-04-09,2026-06-08,28-55/中科/高科技興趣,inactive,13361,1.605889,8320,1,,6,406.33333333,actions:leadgen.other,2438,357,0.725994,2026-05-05,2026-05-15,3000,總經費
2026-04-09,2026-06-08,"25-55/中清洲際 /零售傳產成家",inactive,2153,1.132562,1901,,,,,,350,56,0.418021,2026-05-06,2026-05-16,3000,總經費
2026-04-09,2026-06-08,28-64/台中+彰化/純房產_高效,inactive,2273,1.196316,1900,,,,,,417,82,0.967884,2026-05-07,2026-05-17,4000,總經費
2026-04-09,2026-06-08,28-64/台中+彰化/純股票_高效,inactive,2249,1.153333,1950,,,,,,457,60,0.666963,2026-05-07,2026-05-17,4000,總經費
2026-04-09,2026-06-08,"30-65 / 74沿線 / 業務 通勤需求 房地產興趣(0511排除IG)",inactive,6831,1.393229,4903,3,,3,430.33333333,actions:leadgen.other,1291,184,0.731957,2026-05-08,2026-05-18,3000,總經費
