分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,粉絲專頁互動,開始,結束時間
2024-03-16,2026-05-29,30-65/北屯北區/在地文教家庭,inactive,765,526,,,,,,652,250,每日,22,2.875817,89,2025-05-02,進行中
2024-03-16,2026-05-29,"30-65/北屯水湳豐原/商務業務  國際學校 成家",inactive,2506,1339,,,2,754.5,actions:leadgen.other,1509,250,每日,63,2.513966,300,2025-05-02,進行中
2024-03-16,2026-05-29,用高校速成_南台中(0426調)的受眾,inactive,3429,2038,,,2,1181,actions:leadgen.other,2362,250,每日,58,1.691455,228,2025-05-02,進行中
2024-03-16,2026-05-29,30-60/北屯西屯/廚師興趣,inactive,1278,810,,,1,1086,actions:leadgen.other,1086,250,每日,51,3.99061,98,2025-05-12,進行中
2024-03-16,2026-05-29,30-60/西屯北屯/科技製造業主管,inactive,1880,1110,,,1,1037,actions:leadgen.other,1037,250,每日,53,2.819149,22,2025-05-15,進行中
2024-03-16,2026-05-29,30-60/北屯西屯/投資置產/高收興趣,inactive,2833,1390,,,2,893,actions:leadgen.other,1786,250,每日,66,2.329686,46,2025-05-19,進行中
2024-03-16,2026-05-29,30-60/沿74線/投資/加工業/儲蓄,inactive,953,609,,,1,818,actions:leadgen.other,818,250,每日,22,2.308499,37,2025-05-26,進行中
2024-03-16,2026-05-29,25-60/台中大範圍/自營商/軍公教/上班族,inactive,4733,2158,,,4,479.5,actions:leadgen.other,1918,250,每日,99,2.091697,62,2025-05-29,進行中
2024-03-16,2026-05-29,30-60/北台中/工程師/科技業,inactive,3018,1729,,,1,1518,actions:leadgen.other,1518,250,每日,71,2.352551,48,2025-06-05,進行中
2024-03-16,2026-05-29,30-60/北屯太平東區/家庭換屋(0616調範圍,inactive,19109,7684,1,1,21,489.19047619,actions:leadgen.other,10273,300,每日,633,3.312575,4454,2025-06-11,進行中
2024-03-16,2026-05-29,30-60/北屯西屯/科技業/中小企業,inactive,11539,7151,2,,11,557.36363636,actions:leadgen.other,6131,300,每日,374,3.241182,3049,2025-07-14,進行中
2024-03-16,2026-05-29,30-60/后里豐原潭子/製造業,inactive,10865,5894,5,2,9,602.33333333,actions:leadgen.other,5421,200,每日,432,3.97607,2943,2025-07-15,進行中
2024-03-16,2026-05-29,28-60/台中/自由職業者/創意工作者,inactive,6575,4151,,1,5,584.4,actions:leadgen.other,2922,200,每日,264,4.015209,1662,2025-07-25,進行中
2024-03-16,2026-05-29,30-65/台中/高收族群,inactive,3517,1794,2,2,7,394.42857143,actions:leadgen.other,2761,200,每日,263,7.477964,1222,2025-08-07,進行中
2024-03-16,2026-05-29,30-60/西屯北屯/保險業/業務,inactive,4309,2659,1,,5,549.6,actions:leadgen.other,2748,200,每日,183,4.246925,1060,2025-08-07,進行中
2024-03-16,2026-05-29,28-60/西屯北屯烏日沙鹿/航空族群,inactive,2672,1756,,,5,282.4,actions:leadgen.other,1412,200,每日,127,4.752994,736,2025-08-21,進行中
2024-03-16,2026-05-29,30-60/台中/餐飲/管理階級,inactive,2203,1464,,,1,1433,actions:leadgen.other,1433,200,每日,125,5.674081,714,2025-08-21,進行中
2024-03-16,2026-05-29,30-60/台中/軍警消,inactive,1132,872,,,,,,784,200,每日,48,4.240283,333,2025-08-28,進行中
2024-03-16,2026-05-29,28-60/西屯西區太平/藝術相關興趣,inactive,1107,870,,,,,,784,200,每日,40,3.613369,229,2025-08-28,進行中
