分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-11-06,2026-06-01,0121_簡短版介紹(影片),inactive,1971,1251,,,1,982,actions:leadgen.other,982,300,每日,32,1.623541,1.57554,294,2026-03-23,進行中
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,685,495,,,,,,595,300,每日,22,3.211679,1.383838,129,2026-03-23,進行中
2025-11-06,2026-06-01,0402_旗艦公設(影片),inactive,1070,632,,,1,849,actions:leadgen.other,849,300,每日,27,2.523364,1.693038,192,2026-03-23,進行中
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,725,599,1,,,,,646,3000,總經費,22,3.034483,1.210351,144,2025-12-11,2025-12-21
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,3557,3249,,,,,,1409,3000,總經費,27,0.759067,1.094798,549,2025-12-11,2025-12-21
2025-11-06,2026-06-01,1222_千坪綠覆(影片),not_delivering,1129,966,,,,,,603,3000,總經費,27,2.391497,1.168737,265,2025-12-23,2026-01-04
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,297,264,,,,,,309,3000,總經費,10,3.367003,1.125,55,2025-12-23,2026-01-04
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1531,1485,,,,,,625,3000,總經費,22,1.436969,1.030976,266,2026-01-07,2026-01-18
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,93,85,,,,,,35,3000,總經費,1,1.075269,1.094118,18,2026-01-07,2026-01-18
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,947,838,,,1,654,actions:leadgen.other,654,3000,總經費,20,2.111932,1.130072,142,2026-02-06,2026-02-17
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,811,660,,,,,,515,3000,總經費,35,4.31566,1.228788,162,2026-02-06,2026-02-17
2025-11-06,2026-06-01,1028_EP02(影片),inactive,2573,2296,,,1,926,actions:leadgen.other,926,3000,總經費,34,1.321415,1.120645,286,2026-02-06,2026-02-17
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,161,155,,,,,,107,3000,總經費,5,3.10559,1.03871,41,2026-02-06,2026-02-17
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,23,23,,,,,,1,300,每日,0,0,1,2,2026-04-10,進行中
2025-11-06,2026-06-01,0320_EP02片段2(影片),not_delivering,162,138,,,,,,203,300,每日,4,2.469136,1.173913,27,2026-04-10,進行中
2025-11-06,2026-06-01,0402_旗艦公設(影片),inactive,452,316,,,,,,309,300,每日,6,1.327434,1.43038,61,2026-04-10,進行中
2025-11-06,2026-06-01,1028_EP03片段1(影片),not_delivering,669,548,,,,,,583,300,每日,21,3.139013,1.220803,156,2026-04-10,進行中
2025-11-06,2026-06-01,0320_EP02片段2(影片),not_delivering,458,356,,,,,,352,250,每日,12,2.620087,1.286517,77,2026-05-25,進行中
2025-11-06,2026-06-01,0416_旗艦公設第二版(單圖),inactive,352,303,,,,,,97,250,每日,12,3.409091,1.161716,3,2026-05-25,進行中
2025-11-06,2026-06-01,1028_EP03片段1(影片),not_delivering,318,287,,,,,,209,250,每日,5,1.572327,1.108014,49,2026-05-25,進行中
