分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-06-01,"(先抓)35-55/東區北區中區/ 直播主公司(0511換區拿北區中區 換大里一點烏日",inactive,14539,5414,1,,7,810.71428571,actions:leadgen.other,5675,7000,總經費,403,1.196781,2.685445,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"30-55 / 南屯西屯 / 公職運輸健身",inactive,2166,1382,,,,,,1173,7000,總經費,68,1.615882,1.567294,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"25-50 / 東區+2k / 鎖女性手作",inactive,4,4,,,,,,0,3000,總經費,0,,1,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"25-50 / 東區+2k / 鎖女性手作",inactive,7406,3271,6,36,20,40.41666667,actions:onsite_conversion.messaging_conversation_started_7d,1455,1800,總經費,394,1.674318,2.264139,2026-04-24,2026-05-01
2026-02-23,2026-06-01,"35-55/東區北區中區/ 專業顧問 × 自雇接案菁英",inactive,4719,2421,,,2,948,actions:leadgen.other,1896,5800,總經費,120,1.250265,1.949195,2026-04-27,2026-05-22
2026-02-23,2026-06-01,"(預開)35-55 / 東區 北區 中區 / 自住換屋 親子學區族",inactive,2378,1331,,,,,,1254,233,每日,60,0.756939,1.786627,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"(預開)35-65 / 東區北屯 / 軍公老台中人買給小孩(0508換北屯",inactive,3434,2122,,,1,1433,actions:leadgen.other,1433,233,每日,95,1.106581,1.618285,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"(預開)35-55 / 東區 北區 大里 / 純商辦",inactive,1251,1063,,,,,,797,233,每日,45,1.678657,1.176858,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"30–50 / 東區北區大里 / 北屯在地換屋首購菁英",inactive,6448,3199,2,,8,423.25,actions:leadgen.other,3386,333,每日,195,1.147643,2.01563,2026-05-08,2026-05-22
2026-02-23,2026-06-01,30-60/北區東區大里/醫護/老師/公務員興趣,inactive,1875,1126,,,1,691,actions:leadgen.other,691,250,每日,40,0.96,1.665187,2026-03-26,進行中
