分析報告開始,分析報告結束,廣告名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,1028_EP02(影片),1,,1,1034,actions:leadgen.other,1034,50,2.181501,1.080622,2026-01-09,2026-01-20
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,798,35,3.267974,1.056213,2026-01-12,2026-01-23
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,1,294,actions:leadgen.other,294,4,1.092896,1.048711,2026-01-12,2026-01-23
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,724,33,2.156863,1.120059,2026-01-12,2026-01-23
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,5,0,0,1,2026-01-12,2026-01-23
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,416,19,3.499079,1.193407,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,2,,,,,1382,64,3.026005,1.094721,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,640,27,1.747573,1.08345,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,301,4,1.486989,1.102459,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,2,,,,,623,24,2.38806,1.047967,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1028_EP02(影片),,,1,1061,actions:leadgen.other,1061,24,0.933852,1.113036,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,296,4,0.829876,1.036559,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,1,,1,636,actions:leadgen.other,636,32,3.474484,1.059839,2026-01-14,2026-01-25
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,1,,,,,1265,84,3.173404,1.115936,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1028_EP03(影片),,,2,945.5,actions:leadgen.other,1891,73,1.823632,1.223037,2025-10-28,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,205,6,1.526718,1.056452,2026-01-05,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片),,,,,,127,7,3.043478,1.090047,2026-01-05,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片),1,,,,,439,19,2.486911,1.070028,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,76,2,2.325581,1.102564,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,3,1,16,448.125,actions:leadgen.other,7170,413,4.766301,2.099079,2025-10-28,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,175,4,1.162791,1.092063,2026-01-05,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,1,382,actions:leadgen.other,382,9,1.262272,1.355513,2025-10-28,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,244,15,4.761905,1.137184,2025-11-10,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,187,4,1.5625,1.089362,2026-01-05,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,2,,10,549.6,actions:leadgen.other,5496,356,5.999326,1.935421,2025-10-28,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,424,11,1.598837,1.178082,2025-10-28,進行中
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,1,2033,actions:leadgen.other,2033,69,2.072072,1.217105,2025-11-28,2026-01-26
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,1,991,actions:leadgen.other,991,27,1.64034,1.204978,2025-11-28,2026-01-26
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,695,19,2.261905,1.072797,2026-01-07,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,517,10,1.239157,1.120833,2026-01-07,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,544,16,2.234637,1.154839,2026-01-09,2026-01-20
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,639,27,3.813559,1.140097,2026-01-09,2026-01-20
