分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2024-03-16,2026-06-03,35-60/中科北屯/串流平台/育兒/量販店/租賃(0920調),inactive,2083,1396,,,1,801,actions:leadgen.other,801,5500,總經費,72,1.536246,1.49212,2024-09-18,2024-10-15
2024-03-16,2026-06-03,30-60/中科潭子/貿易商/科技業/親子教育(1007調),inactive,3238,1984,1,1,7,250.28571429,actions:leadgen.other,1752,2500,總經費,140,1.51328,1.632056,2024-09-25,2024-10-15
2024-03-16,2026-06-03,粉專再行銷V2,inactive,1238,590,,,3,332,actions:leadgen.other,996,1000,總經費,70,1.534733,2.098305,2024-09-25,2024-09-29
2024-03-16,2026-06-03,30-60/北台中/文青興趣/露營/親子教育,not_delivering,5419,3173,,,3,666.66666667,actions:leadgen.other,2000,2000,總經費,205,1.273298,1.707847,2024-10-08,2024-10-15
2024-03-16,2026-06-03,30-60/大坑太平/機械產業/戶外活動興趣,not_delivering,5439,3250,1,,2,999,actions:leadgen.other,1998,2000,總經費,253,1.287001,1.673538,2024-10-08,2024-10-15
2024-03-16,2026-06-03,"202409 景立方 高效速成 名單 廣告組合",not_delivering,1812,1334,,,1,986,actions:leadgen.other,986,1000,總經費,93,1.986755,1.358321,2024-08-16,2024-08-18
2024-03-16,2026-06-03,35-60/中科北屯/雙薪家庭興趣,inactive,4520,2293,,,5,404,actions:leadgen.other,2020,2500,總經費,170,1.438053,1.971217,2024-09-25,2024-10-15
2024-03-16,2026-06-03,30-60/大坑太平/機械產業/戶外活動興趣(1022調),inactive,4164,2318,,,2,878.5,actions:leadgen.other,1757,2000,總經費,175,1.416907,1.796376,2024-10-16,2024-10-25
2024-03-16,2026-06-03,30-60/台中新竹台北/投資顧問/外語/留學(1024五調),inactive,2836,2063,,1,1,1314,actions:leadgen.other,1314,2200,總經費,107,1.093089,1.374697,2024-10-16,2024-10-27
2024-03-16,2026-06-03,30-60/松竹+8/置產興趣/名表/重機(1104四調)-不要北部,not_delivering,6664,3600,,,3,1219.33333333,actions:leadgen.other,3658,5800,總經費,301,1.27551,1.851111,2024-10-18,2024-11-16
2024-03-16,2026-06-03,"30-60/ 中科西屯南屯/工程師/科技業",inactive,2808,1861,,,1,1454,actions:leadgen.other,1454,1500,總經費,65,0.712251,1.508866,2024-10-24,2024-10-28
2024-03-16,2026-06-03,30-60/西屯南屯/餐廳/廚師興趣(1104二調),inactive,6467,3982,1,,6,550.33333333,actions:leadgen.other,3302,4700,總經費,237,1.314365,1.624058,2024-10-25,2024-11-15
2024-03-16,2026-06-03,30-65/水湳北屯/生技醫學/電子工程/商管/大學教授,inactive,2332,1211,,,,,,1500,6000,總經費,64,0.728988,1.925681,2024-10-25,2024-11-15
2024-03-16,2026-06-03,26-60/太原車站/圖書館/傳產/自由業/教育,inactive,3868,2062,,,2,940,actions:leadgen.other,1880,4400,總經費,105,0.723888,1.875849,2024-10-25,2024-11-15
2024-03-16,2026-06-03,30-60/北屯/自然科學/醫生/傳產/新婚/親子教育(1104二調),inactive,2652,1753,,,1,1432,actions:leadgen.other,1432,2900,總經費,120,1.206637,1.512835,2024-10-28,2024-11-15
