分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-05-29,"28-55 / 沙鹿西屯 / 文青",inactive,10019,4404,,6,1,496,actions:onsite_conversion.messaging_conversation_started_7d,2976,200,每日,475,2.274977,4.740992,2025-11-07,進行中
2025-10-17,2026-05-29,"28-55 / 梧棲中科 / 服務零售業",inactive,4851,2773,1,4,,415.25,actions:onsite_conversion.messaging_conversation_started_7d,1661,200,每日,176,1.749369,3.628118,2025-11-17,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 公教職員(1201+清水)",not_delivering,39910,11814,9,23,,267.95652174,actions:onsite_conversion.messaging_conversation_started_7d,6163,200,每日,1474,3.378195,3.69331,2025-11-21,進行中
2025-10-17,2026-05-29,"30-60 / 台1中科 / 科技工業(0113擴大+微調)",not_delivering,59173,20719,8,36,1,273.80555556,actions:onsite_conversion.messaging_conversation_started_7d,9857,200,每日,1913,2.855978,3.232893,2025-11-26,進行中
2025-10-17,2026-05-29,"30-60 / 中科台1沿線 / 大公司旅遊",inactive,5349,2498,1,1,,1017,actions:onsite_conversion.messaging_conversation_started_7d,1017,200,每日,166,2.141313,3.103384,2025-12-22,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 戶外露營釣魚",inactive,19009,6704,3,6,,409.83333333,actions:onsite_conversion.messaging_conversation_started_7d,2459,200,每日,430,2.835471,2.262086,2025-12-22,進行中
2025-10-17,2026-05-29,"28-55 / 台1沿線 / 儲蓄技術員",inactive,3384,2703,,,,,,558,200,每日,78,1.251942,2.304965,2026-01-07,進行中
2025-10-17,2026-05-29,"30-60 / 沙鹿南屯 / 五金日用品",inactive,2525,1440,,1,,734,actions:onsite_conversion.messaging_conversation_started_7d,734,200,每日,82,1.753472,3.247525,2026-01-09,進行中
2025-10-17,2026-05-29,"30-60 / 台1沿線 / 警消運動",inactive,3449,2144,1,,,,,582,200,每日,76,1.608675,2.203537,2026-01-12,進行中
2025-10-17,2026-05-29,"海線再行銷 / 華偉知見(0309縮小受眾",inactive,1066,403,,,,,,514,100,每日,40,2.645161,3.752345,2026-03-05,2026-03-10
2025-10-17,2026-05-29,"30-55 / 沙鹿清水中科 / 雙薪成家首購+1%",inactive,6365,3158,,,2,1491,actions:leadgen.other,2982,250,每日,163,2.015516,2.56088,2026-04-02,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿梧棲中科 / 科技業生活興趣",inactive,2534,1772,,,1,1734,actions:leadgen.other,1734,250,每日,68,1.430023,2.683504,2026-04-15,進行中
2025-10-17,2026-05-29,"30-60 / 台1中科 / 科技工業",inactive,18912,6345,,9,,346.77777778,actions:onsite_conversion.messaging_conversation_started_7d,3121,300,每日,687,2.980615,3.632614,2026-05-11,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 公教職員",active,19992,6400,,7,,389,actions:onsite_conversion.messaging_conversation_started_7d,2723,350,每日,535,3.12375,2.67607,2026-05-21,進行中
2025-10-17,2026-05-29,"27-55 / 中科沙鹿梧棲 / 娛樂 串流媒體",inactive,1743,915,,1,,567,actions:onsite_conversion.messaging_conversation_started_7d,567,300,每日,30,1.904918,1.72117,2025-10-22,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水梧棲 / 航空業 地勤",inactive,652,361,,1,1,216,actions:onsite_conversion.messaging_conversation_started_7d,216,300,每日,10,1.806094,1.533742,2025-10-23,進行中
2025-10-17,2026-05-29,"202510_華偉知見_高效訊息_梧棲中科_小家庭 廣告組合",inactive,14401,6895,2,15,2,313.2,actions:onsite_conversion.messaging_conversation_started_7d,4698,200,每日,671,2.088615,4.659399,2025-10-27,進行中
2025-10-17,2026-05-29,"202511_華偉知見_高效訊息_梧棲中科_家庭科技 廣告組合",inactive,7516,4553,,3,,386,actions:onsite_conversion.messaging_conversation_started_7d,1158,150,每日,269,1.65078,3.579031,2025-11-19,進行中
2025-10-17,2026-05-29,"30-60 / 台1中科 / 科技工業",inactive,1593,826,,,,,,354,200,每日,35,1.928571,2.197112,2026-01-26,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 公教職員",inactive,984,603,,,1,275,actions:leadgen.other,275,150,每日,16,1.631841,1.626016,2026-01-26,進行中
