分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-06-03,1231_快問快答(影片),inactive,1582,977,,,,,,420,200,每日,87,1.619243,5.499368,2025-11-26,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,inactive,3171,2547,,,,,,513,200,每日,71,1.244994,2.239041,2026-01-07,進行中
2025-10-17,2026-06-03,1231_快問快答(影片),not_delivering,100,92,,,,,,28,200,每日,3,1.086957,3,2026-01-07,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,141,135,,,,,,21,5000,總經費,2,1.044444,1.41844,2025-10-28,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,1011,907,,,,,,174,5000,總經費,5,1.114664,0.49456,2025-10-28,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),not_delivering,4647,2902,,4,1,374.25,actions:onsite_conversion.messaging_conversation_started_7d,1497,5000,總經費,54,1.601309,1.16204,2025-10-28,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),not_delivering,2162,1565,,1,,675,actions:onsite_conversion.messaging_conversation_started_7d,675,5000,總經費,38,1.38147,1.757632,2025-10-28,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情(影片),not_delivering,378,284,,1,,170,actions:onsite_conversion.messaging_conversation_started_7d,170,4500,總經費,11,1.330986,2.910053,2025-10-31,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),not_delivering,3013,1946,,,,,,987,4500,總經費,53,1.548304,1.759044,2025-10-31,2025-11-16
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),inactive,163,123,,,,,,106,200,每日,1,1.325203,0.613497,2025-11-03,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),inactive,118,95,,1,,27,actions:onsite_conversion.messaging_conversation_started_7d,27,250,每日,4,1.242105,3.389831,2025-11-03,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情(影片),inactive,25,19,,,,,,10,250,每日,0,1.315789,0,2025-11-03,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情(影片),inactive,4,3,,,,,,0,200,每日,0,1.333333,0,2025-11-03,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,3562,2005,,1,,928,actions:onsite_conversion.messaging_conversation_started_7d,928,250,每日,137,1.776559,3.846154,2025-11-03,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,inactive,19695,6868,2,11,,373,actions:onsite_conversion.messaging_conversation_started_7d,4103,200,每日,686,2.867647,3.483118,2025-11-03,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,10018,4404,,6,1,496,actions:onsite_conversion.messaging_conversation_started_7d,2976,200,每日,475,2.27475,4.741465,2025-11-07,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,1204,969,1,1,,373,actions:onsite_conversion.messaging_conversation_started_7d,373,200,每日,54,1.242518,4.48505,2025-11-17,進行中
2025-10-17,2026-06-03,1118_散步到商圈(影片),inactive,2629,1531,,3,,332,actions:onsite_conversion.messaging_conversation_started_7d,996,200,每日,95,1.717178,3.613541,2025-11-17,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,7080,4303,,3,,374.66666667,actions:onsite_conversion.messaging_conversation_started_7d,1124,150,每日,257,1.645364,3.629944,2025-11-19,進行中
2025-10-17,2026-06-03,1118_散步到商圈(影片),inactive,29,25,,,,,,3,150,每日,0,1.16,0,2025-11-19,進行中
2025-10-17,2026-06-03,1118_散步到商圈(單圖),not_delivering,407,350,,,,,,31,150,每日,12,1.162857,2.948403,2025-11-19,進行中
2025-10-17,2026-06-03,0115_沙鹿最強(影片)(V3格局),inactive,2249,1545,,1,,536,actions:onsite_conversion.messaging_conversation_started_7d,536,300,每日,125,1.455663,5.558026,2026-05-11,進行中
2025-10-17,2026-06-03,0423_卡位中山路(影片),inactive,1220,864,,,,,,242,300,每日,44,1.412037,3.606557,2026-05-11,進行中
2025-10-17,2026-06-03,0520_海線蛋黃區,inactive,1863,1134,,,,,,292,300,每日,52,1.642857,2.791197,2026-05-11,進行中
2025-10-17,2026-06-03,0429_1088萬(單圖),not_delivering,15459,5634,,5,,412.4,actions:onsite_conversion.messaging_conversation_started_7d,2062,300,每日,400,2.743876,2.587489,2026-05-21,進行中
2025-10-17,2026-06-03,0520_海線蛋黃區,inactive,386,246,,,,,,41,300,每日,11,1.569106,2.849741,2026-05-21,進行中
2025-10-17,2026-06-03,0527_享住蛋黃區,not_delivering,11286,4366,1,3,,552.66666667,actions:onsite_conversion.messaging_conversation_started_7d,1658,300,每日,342,2.584975,3.030303,2026-05-21,進行中
2025-10-17,2026-06-03,0527_享住蛋黃區,active,3435,2336,,1,,592,actions:onsite_conversion.messaging_conversation_started_7d,592,300,每日,73,1.470462,2.125182,2026-05-11,進行中
2025-10-17,2026-06-03,0429_1088萬(單圖),active,14275,5339,,8,,265.875,actions:onsite_conversion.messaging_conversation_started_7d,2127,300,每日,494,2.673722,3.460595,2026-05-11,進行中
