分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-05-29,0113_優惠再加碼,inactive,26,21,,,,,,0,200,每日,1,1.238095,3.846154,2025-11-26,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片),not_delivering,1992,1634,,2,,201.5,actions:onsite_conversion.messaging_conversation_started_7d,403,200,每日,177,1.219094,8.885542,2025-11-26,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片),not_delivering,6768,4137,2,4,,241.25,actions:onsite_conversion.messaging_conversation_started_7d,965,200,每日,620,1.635968,9.160757,2025-11-21,進行中
2025-10-17,2026-05-29,0113_優惠再加碼,not_delivering,72,61,,,,,,5,200,每日,3,1.180328,4.166667,2025-11-21,進行中
2025-10-17,2026-05-29,0429_1088萬(單圖),inactive,13580,4781,,8,,256.375,actions:onsite_conversion.messaging_conversation_started_7d,2051,300,每日,466,2.84041,3.431517,2026-05-11,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V3格局),inactive,2249,1545,,1,,536,actions:onsite_conversion.messaging_conversation_started_7d,536,300,每日,125,1.455663,5.558026,2026-05-11,進行中
2025-10-17,2026-05-29,0423_卡位中山路(影片),inactive,1220,864,,,,,,242,300,每日,44,1.412037,3.606557,2026-05-11,進行中
2025-10-17,2026-05-29,0520_海線蛋黃區,not_delivering,1863,1134,,,,,,292,300,每日,52,1.642857,2.791197,2026-05-11,進行中
2025-10-17,2026-05-29,0429_1088萬(單圖),active,14948,5512,,5,,395.6,actions:onsite_conversion.messaging_conversation_started_7d,1978,350,每日,376,2.711901,2.515387,2026-05-21,進行中
2025-10-17,2026-05-29,0520_海線蛋黃區,inactive,386,246,,,,,,41,350,每日,11,1.569106,2.849741,2026-05-21,進行中
2025-10-17,2026-05-29,0527_享住蛋黃區,active,4658,2561,,2,,352,actions:onsite_conversion.messaging_conversation_started_7d,704,350,每日,148,1.818821,3.177329,2026-05-21,進行中
2025-10-17,2026-05-29,1118_散步到商圈(影片),inactive,2629,1531,,3,,332,actions:onsite_conversion.messaging_conversation_started_7d,996,200,每日,95,1.717178,3.613541,2025-11-17,進行中
2025-10-17,2026-05-29,1118_散步到商圈(影片),not_delivering,390,284,,,,,,214,200,每日,23,1.373239,5.897436,2025-11-03,進行中
2025-10-17,2026-05-29,1118_散步到商圈(影片),not_delivering,1,1,,,,,,0,200,每日,0,1,0,2025-11-07,進行中
2025-10-17,2026-05-29,1118_散步到商圈(影片),inactive,6,4,,,,,,0,200,每日,0,1.5,0,2025-11-21,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,inactive,28907,9028,7,17,,250.17647059,actions:onsite_conversion.messaging_conversation_started_7d,4253,200,每日,755,3.201927,2.611824,2025-11-21,進行中
2025-10-17,2026-05-29,1118_散步到商圈(單圖),inactive,1971,1048,,2,,241.5,actions:onsite_conversion.messaging_conversation_started_7d,483,200,每日,56,1.880725,2.841197,2025-11-21,進行中
2025-10-17,2026-05-29,1118_散步到商圈(單圖),not_delivering,1018,789,,,,,,292,200,每日,27,1.290241,2.652259,2025-11-17,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,54239,19386,8,34,1,260.79411765,actions:onsite_conversion.messaging_conversation_started_7d,8867,200,每日,1625,2.797844,2.995999,2025-11-26,進行中
2025-10-17,2026-05-29,1118_散步到商圈(單圖),inactive,463,336,,,,,,49,200,每日,11,1.377976,2.37581,2025-11-26,進行中
2025-10-17,2026-05-29,1202_客製2房2衛,inactive,2186,1081,,,,,,457,200,每日,40,2.022202,1.829826,2025-11-21,進行中
2025-10-17,2026-05-29,1202_客製2房2衛,inactive,871,563,,,,,,118,200,每日,12,1.547069,1.377727,2025-11-26,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,inactive,1644,1133,,1,,284,actions:onsite_conversion.messaging_conversation_started_7d,284,200,每日,53,1.451015,3.223844,2025-12-22,進行中
2025-10-17,2026-05-29,1202_客製2房2衛,not_delivering,701,459,,,,,,171,200,每日,17,1.527233,2.425107,2025-12-22,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,17938,6423,3,6,,376.16666667,actions:onsite_conversion.messaging_conversation_started_7d,2257,200,每日,416,2.792776,2.319099,2025-12-22,進行中
2025-10-17,2026-05-29,1202_客製2房2衛,inactive,712,374,,,,,,131,200,每日,1,1.903743,0.140449,2025-12-22,進行中
2025-10-17,2026-05-29,1224_一步到位,not_delivering,3004,1442,1,,,,,562,200,每日,96,2.083218,3.195739,2025-12-22,進行中
2025-10-17,2026-05-29,1231_快問快答(影片),not_delivering,359,263,,,,,,71,200,每日,13,1.365019,3.62117,2025-12-22,進行中
2025-10-17,2026-05-29,1231_快問快答(影片),inactive,1582,977,,,,,,420,200,每日,87,1.619243,5.499368,2025-11-26,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,inactive,3171,2547,,,,,,513,200,每日,71,1.244994,2.239041,2026-01-07,進行中
2025-10-17,2026-05-29,1017_乘載鄉里情(影片),inactive,2710,1177,,1,,443,actions:onsite_conversion.messaging_conversation_started_7d,443,200,每日,61,2.302464,2.250923,2025-10-17,進行中
2025-10-17,2026-05-29,1017_乘載鄉里情(影片),inactive,3474,1735,,6,,167.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1004,300,每日,86,2.002305,2.475533,2025-10-17,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,934,479,1,1,,281,actions:onsite_conversion.messaging_conversation_started_7d,281,300,每日,19,1.949896,2.034261,2025-10-22,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,2150,1491,,,,,,654,300,每日,30,1.441985,1.395349,2025-10-17,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,1743,915,,1,,567,actions:onsite_conversion.messaging_conversation_started_7d,567,300,每日,30,1.904918,1.72117,2025-10-22,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,652,361,,1,1,216,actions:onsite_conversion.messaging_conversation_started_7d,216,300,每日,10,1.806094,1.533742,2025-10-23,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,141,135,,,,,,21,5000,總經費,2,1.044444,1.41844,2025-10-28,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),not_delivering,1011,907,,,,,,174,5000,總經費,5,1.114664,0.49456,2025-10-28,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),inactive,3337,2180,1,2,,513,actions:onsite_conversion.messaging_conversation_started_7d,1026,200,每日,66,1.530734,1.977824,2025-10-27,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),not_delivering,4647,2902,,4,1,374.25,actions:onsite_conversion.messaging_conversation_started_7d,1497,5000,總經費,54,1.601309,1.16204,2025-10-28,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),not_delivering,2162,1565,,1,,675,actions:onsite_conversion.messaging_conversation_started_7d,675,5000,總經費,38,1.38147,1.757632,2025-10-28,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情(影片),not_delivering,378,284,,1,,170,actions:onsite_conversion.messaging_conversation_started_7d,170,4500,總經費,11,1.330986,2.910053,2025-10-31,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),not_delivering,3013,1946,,,,,,987,4500,總經費,53,1.548304,1.759044,2025-10-31,2025-11-16
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),inactive,163,123,,,,,,106,200,每日,1,1.325203,0.613497,2025-11-03,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情(單圖),inactive,118,95,,1,,27,actions:onsite_conversion.messaging_conversation_started_7d,27,250,每日,4,1.242105,3.389831,2025-11-03,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情(影片),inactive,25,19,,,,,,10,250,每日,0,1.315789,0,2025-11-03,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情(影片),inactive,4,3,,,,,,0,200,每日,0,1.333333,0,2025-11-03,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,3562,2005,,1,,928,actions:onsite_conversion.messaging_conversation_started_7d,928,250,每日,137,1.776559,3.846154,2025-11-03,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,inactive,19695,6868,2,11,,373,actions:onsite_conversion.messaging_conversation_started_7d,4103,200,每日,686,2.867647,3.483118,2025-11-03,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,10064,4849,,9,,364.44444444,actions:onsite_conversion.messaging_conversation_started_7d,3280,200,每日,578,2.075479,5.743243,2025-10-27,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,10018,4404,,6,1,496,actions:onsite_conversion.messaging_conversation_started_7d,2976,200,每日,475,2.27475,4.741465,2025-11-07,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,1204,969,1,1,,373,actions:onsite_conversion.messaging_conversation_started_7d,373,200,每日,54,1.242518,4.48505,2025-11-17,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,7080,4303,,3,,374.66666667,actions:onsite_conversion.messaging_conversation_started_7d,1124,150,每日,257,1.645364,3.629944,2025-11-19,進行中
2025-10-17,2026-05-29,1118_散步到商圈(影片),inactive,29,25,,,,,,3,150,每日,0,1.16,0,2025-11-19,進行中
2025-10-17,2026-05-29,1118_散步到商圈(單圖),not_delivering,407,350,,,,,,31,150,每日,12,1.162857,2.948403,2025-11-19,進行中
2025-10-17,2026-05-29,1022_乘載鄉里情-2(影片),inactive,1000,700,1,4,2,98,actions:onsite_conversion.messaging_conversation_started_7d,392,200,每日,27,1.428571,2.7,2025-10-27,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片),inactive,87,77,,,,,,23,200,每日,5,1.12987,5.747126,2026-01-26,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,632,385,,,,,,126,200,每日,13,1.641558,2.056962,2026-01-26,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,not_delivering,448,300,,,1,167,actions:leadgen.other,167,150,每日,5,1.493333,1.116071,2026-01-26,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片),not_delivering,192,168,,,,,,53,150,每日,5,1.142857,2.604167,2026-01-26,進行中
2025-10-17,2026-05-29,0113_優惠再加碼,not_delivering,874,513,,,,,,205,200,每日,17,1.703704,1.94508,2026-01-26,進行中
2025-10-17,2026-05-29,0113_優惠再加碼,not_delivering,344,236,,,,,,55,150,每日,6,1.457627,1.744186,2026-01-26,進行中
