分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-09,2026-07-21,0410_訂簽68萬new,not_delivering,2628,2342,,,2,359,actions:leadgen.other,718,3000,總經費,72,2.739726,1.122118,2026-05-07,2026-05-17
2026-04-09,2026-07-21,0424_南興角地V2,inactive,8103,6223,,,5,289.8,actions:leadgen.other,1449,3000,總經費,223,2.752067,1.302105,2026-05-07,2026-05-17
2026-04-09,2026-07-21,0507_黑馬A版,inactive,31,30,,,,,,3,3000,總經費,4,12.903226,1.033333,2026-05-07,2026-05-17
2026-04-09,2026-07-21,0512_雙捷運,not_delivering,332,310,,,,,,39,3000,總經費,19,5.722892,1.070968,2026-05-07,2026-05-17
2026-04-09,2026-07-21,0507_黑馬A版,not_delivering,426,386,,,,,,58,3000,總經費,16,3.755869,1.103627,2026-05-07,2026-05-17
2026-04-09,2026-07-21,0424_南興角地V2,inactive,1466,1284,,,,,,344,3000,總經費,51,3.478854,1.141745,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0512_雙捷運,not_delivering,282,257,,,,,,53,3000,總經費,5,1.77305,1.097276,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0410_訂簽68萬new,not_delivering,975,903,,,,,,376,3000,總經費,31,3.179487,1.079734,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,25408,12924,51,24,37,115.55882353,actions:leadgen.other,3929,10000,總經費,1508,5.935139,1.965955,2026-04-09,2026-06-20
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,30793,15391,47,11,41,130.25641026,actions:leadgen.other,5080,7500,總經費,1685,5.472023,2.000715,2026-04-09,2026-06-15
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,19,19,,,,,,14,2500,總經費,0,0,1,2026-04-21,2026-04-30
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,3,3,,,,,,0,2500,總經費,0,0,1,2026-04-21,2026-04-30
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,3607,3052,3,,1,691,actions:leadgen.other,691,2500,總經費,135,3.742722,1.181848,2026-04-22,2026-04-30
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,17198,12611,18,,15,193.46666667,actions:leadgen.other,2902,6300,總經費,857,4.983138,1.36373,2026-04-22,2026-06-15
2026-04-09,2026-07-21,0424_南興角地V1,inactive,8791,4852,,,5,285.2,actions:leadgen.other,1426,6300,總經費,371,4.220225,1.81183,2026-04-22,2026-06-15
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,5759,5034,6,,3,425,actions:leadgen.other,1275,6000,總經費,231,4.011113,1.144021,2026-04-24,2026-05-14
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,11238,6087,,,13,150.46153846,actions:leadgen.other,1956,6000,總經費,379,3.372486,1.84623,2026-04-24,2026-05-14
2026-04-09,2026-07-21,0507_黑馬B版,inactive,32,32,,,,,,1,6300,總經費,0,0,1,2026-04-22,2026-06-15
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,1274,1131,,,,,,318,3000,總經費,50,3.924647,1.126437,2026-04-28,2026-05-08
2026-04-09,2026-07-21,0424_南興角地V1,inactive,1631,1290,,,,,,227,3000,總經費,47,2.881668,1.264341,2026-04-28,2026-05-08
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,3030,2258,,,2,276.5,actions:leadgen.other,553,3000,總經費,80,2.640264,1.341895,2026-04-29,2026-05-10
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,1330,1191,,,,,,296,3000,總經費,55,4.135338,1.116709,2026-04-29,2026-05-10
2026-04-09,2026-07-21,0424_南興角地V2,inactive,2334,1601,,,,,,521,3000,總經費,63,2.699229,1.457839,2026-04-29,2026-05-10
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,3806,3388,4,,2,346,actions:leadgen.other,692,3000,總經費,134,3.520757,1.123377,2026-04-29,2026-05-10
2026-04-09,2026-07-21,0430_南興訂簽68萬,not_delivering,656,533,,,,,,153,3000,總經費,28,4.268293,1.230769,2026-04-29,2026-05-10
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,2715,2403,,,1,526,actions:leadgen.other,526,250,每日,65,2.394107,1.129838,2026-06-05,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,1297,1177,,,,,,183,250,每日,37,2.852737,1.101954,2026-06-08,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,512,489,,,,,,126,250,每日,18,3.515625,1.047035,2026-06-08,進行中
2026-04-09,2026-07-21,0424_南興角地V2,inactive,2295,2088,,,,,,348,300,每日,60,2.614379,1.099138,2026-05-22,進行中
2026-04-09,2026-07-21,0522_北屯表參道A版,inactive,1022,810,,,,,,312,300,每日,23,2.250489,1.261728,2026-05-22,進行中
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,22,22,,,,,,1,300,每日,0,0,1,2026-05-22,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,inactive,1489,1253,,,,,,309,300,每日,30,2.014775,1.188348,2026-05-19,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,3184,2784,,,1,504,actions:leadgen.other,504,300,每日,91,2.85804,1.143678,2026-05-19,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,569,534,,,,,,89,300,每日,7,1.230228,1.065543,2026-05-25,進行中
