分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-04-09,2026-07-09,"30-55 / 洲際+8K / 置產客/雙語/國際學校",inactive,13099,10341,6,2,5,421.2,actions:leadgen.other,2106,300,每日,300,0.603099,1.266705,2026-05-25,進行中
2026-04-09,2026-07-09,"35-60 / 南屯西屯烏日 / 置產客/精品/進口代理",inactive,8589,7058,4,2,3,694.33333333,actions:leadgen.other,2083,300,每日,332,0.605426,1.216917,2026-05-25,進行中
2026-04-09,2026-07-09,"40-65 / 西屯北屯 / 置產客/高爾夫/豪車",inactive,5240,4096,,,1,1067,actions:leadgen.other,1067,300,每日,122,0.763359,1.279297,2026-05-25,進行中
2026-04-09,2026-07-09,"35-60 / 中科 / 工程師/主管(0601擴大)",inactive,16990,10267,2,1,8,381,actions:leadgen.other,3048,250,每日,363,0.712184,1.654816,2026-05-26,進行中
2026-04-09,2026-07-09,"30-55 / 洲際+5 / 投資置產/會計師/政府(0601擴大)",inactive,12817,8495,6,3,8,364.75,actions:leadgen.other,2918,250,每日,305,0.709995,1.50877,2026-05-26,進行中
2026-04-09,2026-07-09,35-60/中科/主管/旅遊/投資置產**,inactive,20451,12634,1,3,11,373.63636364,actions:leadgen.other,4110,250,每日,552,0.576989,1.618727,2026-05-27,進行中
2026-04-09,2026-07-09,"35-60 / 水湳中科 / 置產客/高學歷/生物科技",inactive,4757,3425,,,1,1211,actions:leadgen.other,1211,300,每日,113,0.525541,1.388905,2026-05-28,進行中
2026-04-09,2026-07-09,"30-55 / 洲際+8K / 置產客/自營商/高收職業",inactive,15807,9508,1,,10,309.6,actions:leadgen.other,3096,250,每日,481,0.607326,1.662495,2026-05-28,進行中
2026-04-09,2026-07-09,35-60/洲際+5/主管/旅遊/投資置產,inactive,5052,3333,2,,3,477.33333333,actions:leadgen.other,1432,250,每日,122,0.514648,1.515752,2026-06-01,進行中
2026-04-09,2026-07-09,"30-55 / 洲際+8K / 置產客/高消費",inactive,3872,3312,1,,1,763,actions:leadgen.other,763,250,每日,107,0.568182,1.169082,2026-06-05,進行中
2026-04-09,2026-07-09,35-65/洲際南興/置產客/子女置產,inactive,1809,1641,,,,,,309,250,每日,55,0.939746,1.102377,2026-06-08,進行中
2026-04-09,2026-07-09,28-55/中科逢甲/科技新貴/旅遊,active,19305,10147,4,4,13,286.91666667,actions:leadgen.other,3443,300,每日,633,0.740741,1.902533,2026-06-24,進行中
2026-04-09,2026-07-09,30-55/洲際逢甲/生技/家長/置產,active,11086,6679,1,1,8,261.125,actions:leadgen.other,2089,300,每日,403,0.793794,1.659829,2026-07-01,進行中
2026-04-09,2026-07-09,"28-55 / 洲際 / 年輕人興趣(0511純洲際",inactive,11627,7879,5,3,6,409.83333333,actions:leadgen.other,2459,3000,總經費,327,0.662252,1.475695,2026-05-05,2026-05-15
2026-04-09,2026-07-09,28-55/北屯潭子/在地剛需,inactive,8224,6149,3,,3,619.66666667,actions:leadgen.other,1859,3000,總經費,249,0.753891,1.337453,2026-05-05,2026-05-15
2026-04-09,2026-07-09,28-55/中科/高科技興趣,inactive,13361,8320,1,,6,406.33333333,actions:leadgen.other,2438,3000,總經費,357,0.725994,1.605889,2026-05-05,2026-05-15
2026-04-09,2026-07-09,"25-55/中清洲際 /零售傳產成家",inactive,2153,1901,,,,,,350,3000,總經費,56,0.418021,1.132562,2026-05-06,2026-05-16
2026-04-09,2026-07-09,28-64/台中+彰化/純房產_高效,inactive,2273,1900,,,,,,417,4000,總經費,82,0.967884,1.196316,2026-05-07,2026-05-17
2026-04-09,2026-07-09,28-64/台中+彰化/純股票_高效,inactive,2249,1950,,,,,,457,4000,總經費,60,0.666963,1.153333,2026-05-07,2026-05-17
2026-04-09,2026-07-09,"30-65 / 74沿線 / 業務 通勤需求 房地產興趣(0511排除IG)",inactive,6831,4903,3,,3,430.33333333,actions:leadgen.other,1291,3000,總經費,184,0.731957,1.393229,2026-05-08,2026-05-18
2026-04-09,2026-07-09,"30-60 / 中清文心 / 二代/自營商",inactive,3694,2797,,,1,717,actions:leadgen.other,717,3000,總經費,95,0.676773,1.320701,2026-05-08,2026-05-19
2026-04-09,2026-07-09,"30-60 / 北屯潭子 / 汽車市場/技師",inactive,4083,3188,,,,,,738,3000,總經費,96,0.563311,1.28074,2026-05-08,2026-05-19
2026-04-09,2026-07-09,"30–50 / 東區北區大里 / 北屯在地換屋首購菁英",inactive,1892,1655,,,,,,320,2500,總經費,47,0.317125,1.143202,2026-05-12,2026-05-23
2026-04-09,2026-07-09,"30–50 / 北區北屯 / 法律相關執業者+運動",inactive,1400,1292,,,,,,338,2500,總經費,47,0.785714,1.083591,2026-05-12,2026-05-23
2026-04-09,2026-07-09,30-60/中科潭子/律師興趣/咖啡/電動車,inactive,6758,4983,3,1,1,1494,actions:leadgen.other,1494,3000,總經費,199,0.665877,1.356211,2026-05-13,2026-05-24
2026-04-09,2026-07-09,32-60/水湳+5K/工程師/國外旅遊/收藏/教育,inactive,6476,4529,2,,1,1486,actions:leadgen.other,1486,3000,總經費,138,0.555899,1.429896,2026-05-13,2026-05-24
2026-04-09,2026-07-09,"35-60 / 南屯西屯烏日 / 置產客/常旅行/投資者",inactive,5657,4528,,,1,1243,actions:leadgen.other,1243,300,每日,157,0.724766,1.249337,2026-05-29,進行中
2026-04-09,2026-07-09,"30-55 / 中科 / 置產客/雙語/國際學校",inactive,1991,1702,,,,,,338,300,每日,37,0.401808,1.1698,2026-06-01,進行中
2026-04-09,2026-07-09,30-60/中科水湳/金融科技/投資置產,inactive,8857,5518,,,3,575.33333333,actions:leadgen.other,1726,250,每日,195,0.66614,1.605111,2026-06-04,進行中
2026-04-09,2026-07-09,30-60/中科水湳/投顧高管/置產客(0609改地點),inactive,2104,1679,,,,,,414,250,每日,47,0.712928,1.253127,2026-06-08,進行中
2026-04-09,2026-07-09,30-60/好市多+6/精裝興趣/投資置產,inactive,3521,2952,,,1,687,actions:leadgen.other,687,250,每日,89,0.340812,1.192751,2026-06-09,進行中
2026-04-09,2026-07-09,30-65/洲際+6/置產/醫師/高管,inactive,3780,2727,1,,2,511,actions:leadgen.other,1022,250,每日,127,0.740741,1.386139,2026-06-11,進行中
2026-04-09,2026-07-09,28-55/洲際+6/置產/個人品牌/自媒體,inactive,3493,2721,2,1,3,373.5,actions:leadgen.other,747,250,每日,102,0.65846,1.283719,2026-06-12,進行中
2026-04-09,2026-07-09,28-55/中科逢甲/置產客/自營商/高收職業,inactive,17690,9372,7,7,11,301,actions:leadgen.other,2709,200,每日,493,0.746184,1.887537,2026-06-12,進行中
2026-04-09,2026-07-09,28-55/中科逢甲/父母成家興趣,inactive,6868,4863,1,1,2,602,actions:leadgen.other,1204,250,每日,188,0.655213,1.412297,2026-07-01,進行中
2026-04-09,2026-07-09,32-60/北屯西屯/雙語教育/出國常客/高級運動,inactive,7961,5778,,,2,734,actions:leadgen.other,1468,3000,總經費,207,0.71599,1.377812,2026-05-13,2026-05-24
2026-04-09,2026-07-09,30-65/中科/金融投資/置產客,inactive,2507,1959,,,,,,520,250,每日,82,0.518548,1.279735,2026-06-11,2026-06-15
