0410_訂簽68萬new | spend=1094 leads=2.0 cpl=547 ctr=3.257252 clicks=137.0 freq=1.183788 start=2026-05-05 end=2026-05-15
0508_黑馬B版 | spend=904 leads=2.0 cpl=452 ctr=2.562024 clicks=158.0 freq=1.256008 start=2026-05-05 end=2026-05-15
0507_黑馬A版 | spend=208 leads=1.0 cpl=208 ctr=3.256105 clicks=52.0 freq=1.182087 start=2026-05-11 end=2026-05-22
0508_黑馬B版 | spend=841 leads=1.0 cpl=841 ctr=2.043058 clicks=93.0 freq=1.186962 start=2026-05-14 end=2026-05-25
0515_AI影片V3 | spend=549 leads=1.0 cpl=549 ctr=1.90036 clicks=37.0 freq=1.481735 start=2026-04-09 end=2026-06-20
0515_AI影片V2 | spend=152 leads=1.0 cpl=152 ctr=4.830918 clicks=20.0 freq=1.153203 start=2026-05-18 end=2026-06-20
0508_黑馬B版 | spend=621 leads=1.0 cpl=621 ctr=2.913025 clicks=70.0 freq=1.190783 start=2026-05-18 end=2026-06-20
0522_北屯表參道B版 | spend=425 leads=1.0 cpl=425 ctr=2.279635 clicks=45.0 freq=1.300395 start=2026-05-26 end=2026-06-06
0424_南興角地V2 | spend=68 leads=1.0 cpl=68 ctr=3.225806 clicks=11.0 freq=1.136667 start=2026-05-01 end=2026-05-10
0410_訂簽68萬 | spend=691 leads=1.0 cpl=691 ctr=3.742722 clicks=135.0 freq=1.181848 start=2026-04-22 end=2026-04-30
0424_南興角地V2 | spend=526 leads=1.0 cpl=526 ctr=2.394107 clicks=65.0 freq=1.129838 start=2026-06-05 end=進行中
0424_南興角地V2 | spend=504 leads=1.0 cpl=504 ctr=2.85804 clicks=91.0 freq=1.143678 start=2026-05-19 end=進行中
0424_南興角地V2 | spend=542 leads=1.0 cpl=542 ctr=3.106091 clicks=77.0 freq=1.129385 start=2026-05-26 end=進行中
0602_無痛換(影片) | spend=527 leads=1.0 cpl=527 ctr=3.263403 clicks=42.0 freq=1.43 start=2026-05-26 end=進行中
0410_訂簽68萬 | spend=269 leads=1.0 cpl=269 ctr=3.52065 clicks=52.0 freq=1.082845 start=2026-05-04 end=進行中
0410_訂簽68萬 | spend=596 leads=1.0 cpl=596 ctr=3.442623 clicks=84.0 freq=1.115174 start=2026-05-19 end=進行中
0508_黑馬B版 | spend=376 leads=1.0 cpl=376 ctr=2.952953 clicks=59.0 freq=1.176678 start=2026-05-19 end=進行中
0522_北屯表參道B版 | spend=743 leads=1.0 cpl=743 ctr=1.921345 clicks=64.0 freq=1.285108 start=2026-05-22 end=進行中
0522_北屯表參道B版 | spend=908 leads=1.0 cpl=908 ctr=2.015748 clicks=64.0 freq=1.334594 start=2026-05-20 end=進行中
0518_好市多森活圈 | spend=691 leads=1.0 cpl=691 ctr=1.1895 clicks=29.0 freq=1.572903 start=2026-05-23 end=進行中
0424_南興角地V2 | spend=590 leads=1.0 cpl=590 ctr=3.012048 clicks=105.0 freq=1.218881 start=2026-06-12 end=進行中
0424_南興角地V2 | spend=637 leads=1.0 cpl=637 ctr=2.602118 clicks=86.0 freq=1.171986 start=2026-06-09 end=進行中
0522_北屯表參道B版 | spend=489 leads=1.0 cpl=489 ctr=1.754386 clicks=28.0 freq=1.354839 start=2026-05-28 end=進行中
0410_訂簽68萬 | spend=771 leads=1.0 cpl=771 ctr=3.364486 clicks=108.0 freq=1.098939 start=2026-05-29 end=進行中
0424_南興角地V2 | spend=491 leads=1.0 cpl=491 ctr=2.991137 clicks=81.0 freq=1.166236 start=2026-06-04 end=進行中
0508_黑馬B版 | spend=633 leads=1.0 cpl=633 ctr=1.586418 clicks=57.0 freq=1.20895 start=2026-05-25 end=進行中
0522_北屯表參道B版 | spend=369 leads=1.0 cpl=369 ctr=1.947149 clicks=28.0 freq=1.22383 start=2026-05-26 end=進行中
0410_訂簽68萬 | spend=436 leads=1.0 cpl=436 ctr=3.178739 clicks=61.0 freq=1.351408 start=2026-05-08 end=2026-05-18
0512_雙捷運 | spend=592 leads=1.0 cpl=592 ctr=2.507837 clicks=72.0 freq=1.321823 start=2026-05-13 end=2026-05-24
0512_雙捷運 | spend=639 leads=1.0 cpl=639 ctr=2.28385 clicks=70.0 freq=1.291614 start=2026-05-13 end=2026-05-24
0512_雙捷運 | spend=622 leads=1.0 cpl=622 ctr=2.216661 clicks=62.0 freq=1.305789 start=2026-05-13 end=2026-05-24
0508_黑馬B版 | spend=846 leads=1.0 cpl=846 ctr=2.807901 clicks=145.0 freq=1.193437 start=2026-05-13 end=2026-05-24
0410_訂簽68萬 | spend=610 leads=1.0 cpl=610 ctr=2.684564 clicks=84.0 freq=1.737368 start=2026-05-20 end=進行中
0410_訂簽68萬 | spend=910 leads=1.0 cpl=910 ctr=3.405714 clicks=149.0 freq=1.114366 start=2026-05-05 end=進行中
0410_訂簽68萬 | spend=341 leads=1.0 cpl=341 ctr=3.275401 clicks=49.0 freq=1.082489 start=2026-05-05 end=2026-05-15
0410_訂簽68萬new | spend=346 leads=1.0 cpl=346 ctr=3.145336 clicks=29.0 freq=1.132678 start=2026-05-05 end=2026-05-15
0507_黑馬A版 | spend=60 leads=1.0 cpl=60 ctr=3.581267 clicks=13.0 freq=1.123839 start=2026-05-08 end=2026-05-18
0508_黑馬B版 | spend=712 leads=1.0 cpl=712 ctr=2.462477 clicks=105.0 freq=1.276265 start=2026-05-08 end=2026-05-18
0508_黑馬B版 | spend=587 leads=1.0 cpl=587 ctr=2.523553 clicks=75.0 freq=1.264143 start=2026-05-08 end=2026-05-19
0508_黑馬B版 | spend=196 leads=None cpl=None ctr=2.578797 clicks=36.0 freq=1.098348 start=2026-05-11 end=2026-05-22
0512_雙捷運 | spend=326 leads=None cpl=None ctr=1.594684 clicks=24.0 freq=1.133283 start=2026-05-11 end=2026-05-22
0515_AI影片V2 | spend=158 leads=None cpl=None ctr=1.479655 clicks=12.0 freq=1.212257 start=2026-05-14 end=2026-05-25
0515_AI影片V2 | spend=739 leads=None cpl=None ctr=2.629347 clicks=62.0 freq=1.745374 start=2026-04-09 end=2026-06-15
0518_好市多森活圈 | spend=453 leads=None cpl=None ctr=3.24412 clicks=40.0 freq=1.29653 start=2026-04-09 end=2026-06-20
0518_好市多森活圈 | spend=619 leads=None cpl=None ctr=2.548726 clicks=34.0 freq=1.385254 start=2026-05-18 end=2026-06-20
0522_北屯表參道A版 | spend=581 leads=None cpl=None ctr=2.267574 clicks=30.0 freq=1.229554 start=2026-05-18 end=2026-06-20
