分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2023-06-09,2026-07-09,"28-65 / 台中市區+沙鹿 / 直銷電商業務",not_delivering,15165,7365,5,5,33,127.27272727,actions:leadgen.other,4200,4200,總經費,833,1.252885,2.059063,2024-05-10,2024-05-22
2023-06-09,2026-07-09,"30-60 / 沙鹿 西屯 / 自營商",not_delivering,2354,1340,7,3,4,300,actions:leadgen.other,1200,1200,總經費,105,1.189465,1.756716,2024-05-17,2024-05-27
2023-06-09,2026-07-09,"33-65/ 中科.沙鹿/ 在地醫護人員",inactive,4584,1850,2,3,,342,actions:onsite_conversion.messaging_conversation_started_7d,1026,1500,總經費,288,1.396161,2.477838,2024-05-21,2024-05-31
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 在地企業",inactive,10613,4364,1,,8,368.625,actions:leadgen.other,2949,200,每日,306,1.130689,2.431943,2024-05-21,進行中
2023-06-09,2026-07-09,"25 - 40/西屯、南屯、台中市(龍井、沙鹿、清水、梧棲) - 複本",not_delivering,20079,7668,49,73,,41.09589041,actions:onsite_conversion.messaging_conversation_started_7d,3000,3000,總經費,2589,1.439315,2.618545,2024-05-27,2024-06-25
2023-06-09,2026-07-09,"33-65/ 中科.沙鹿/  喜歡日本(0619調",not_delivering,10874,3263,6,13,,192.23076923,actions:onsite_conversion.messaging_conversation_started_7d,2499,2500,總經費,737,1.719698,3.332516,2024-05-28,2024-06-20
2023-06-09,2026-07-09,"30-65 / 沙鹿 / 保全消防業務類(619調",not_delivering,10021,2942,1,,18,166.66666667,actions:leadgen.other,3000,3000,總經費,442,1.536773,3.406186,2024-05-28,2024-06-20
2023-06-09,2026-07-09,"30-55 /沙鹿梧棲中科 / 科技業生活興趣",not_delivering,3607,2397,,,5,323.2,actions:leadgen.other,1616,1616,總經費,116,1.108955,1.504798,2024-05-29,2024-05-31
2023-06-09,2026-07-09,"33-65/ 中科.沙鹿/  再行銷 -跑互動",inactive,7243,4322,,,,2.85714286,actions:post_engagement,500,500,總經費,735,0.276129,1.675845,2024-05-29,2024-06-01
2023-06-09,2026-07-09,"30-55 /沙鹿梧棲中科 / 科技業生活興趣",not_delivering,19600,8520,,,37,216.21621622,actions:leadgen.other,8000,8000,總經費,684,1.377551,2.300469,2024-06-01,2024-06-30
2023-06-09,2026-07-09,"30-60 / 沙鹿 西屯 / 自營商",not_delivering,995,662,1,,3,101.66666667,actions:leadgen.other,305,1300,總經費,105,3.61809,1.503021,2024-06-03,2024-06-12
