分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-04-17,2026-06-02,"28-60 / 國圖館+6 / 親子運動(+排除主粉專）",inactive,1470,1064,1,,1,539,actions:leadgen.other,539,300,每日,62,0.952381,1.381579,2026-04-17,進行中
2026-04-17,2026-06-02,"28-60 / 國圖館+6 / 高知識文學",inactive,487,415,,,,,,219,300,每日,25,1.026694,1.173494,2026-04-17,進行中
2026-04-17,2026-06-02,"28-60 / 大慶車站+LALAPORT / 純房產興趣",inactive,6378,2955,1,,5,498.4,actions:leadgen.other,2492,200,每日,350,1.222954,2.158376,2026-04-18,進行中
2026-04-17,2026-06-02,"28-60 / 國圖館+6 / 高資產女性置產族",inactive,16902,6043,2,,22,269.5,actions:leadgen.other,5929,250,每日,745,1.31937,2.796955,2026-04-24,進行中
2026-04-17,2026-06-02,"28-60 / 興大+6 /年輕成家+通勤上班",inactive,2537,1456,,,2,499.5,actions:leadgen.other,999,225,每日,110,0.985416,1.742445,2026-05-11,進行中
2026-04-17,2026-06-02,"28-60 / 興大+3 / 精品美感高階主管(0514縮小區域",inactive,2057,1424,,,1,501,actions:leadgen.other,501,225,每日,67,0.97229,1.444522,2026-05-13,進行中
2026-04-17,2026-06-02,28-60/南區大里/科技/高收入客群,inactive,2529,1539,,,,,,846,300,每日,91,1.028074,1.643275,2026-05-15,2026-05-26
2026-04-17,2026-06-02,"28-60 / 南區東區大里 / 年輕人興趣",inactive,11064,4086,,,10,289.4,actions:leadgen.other,2894,250,每日,414,0.912871,2.707783,2026-05-21,進行中
2026-04-17,2026-06-02,"28-60 / 國圖館+6 / 房地產(備)",active,458,387,,,,,,104,250,每日,9,0.436681,1.183463,2026-05-28,進行中
