分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間,轉換率排名
2026-03-12,2026-07-21,20260608_雙捷地標,not_delivering,459,298,,,,,,355,250,每日,20,0.43573,1.540268,2026-06-08,進行中,-
2026-03-12,2026-07-21,0508_雙捷共構(影片),not_delivering,149,127,,,,,,125,250,每日,3,0.671141,1.173228,2026-06-08,進行中,-
2026-03-12,2026-07-21,0508_雙捷共構(影片),not_delivering,607,495,,,1,417,actions:leadgen.other,417,250,每日,13,1.317957,1.226263,2026-06-10,進行中,-
2026-03-12,2026-07-21,20260608_雙捷地標,not_delivering,91,79,,,,,,90,250,每日,3,2.197802,1.151899,2026-06-10,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,5708,3368,,1,4,479.75,actions:leadgen.other,1919,使用行銷活動預算,0,83,0.735809,1.694774,2026-03-31,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,3526,2285,,,2,719.5,actions:leadgen.other,1439,使用行銷活動預算,0,53,0.737379,1.543107,2026-03-31,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1264,923,,,,,,413,使用行銷活動預算,0,15,0.712025,1.369447,2026-04-01,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,89,70,,,,,,41,使用行銷活動預算,0,3,1.123596,1.271429,2026-03-31,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,3,3,,,,,,0,使用行銷活動預算,0,0,,1,2026-04-01,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1559,1133,,,2,291.5,actions:leadgen.other,583,使用行銷活動預算,0,26,0.962155,1.375993,2026-04-07,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,929,738,,,,,,611,300,每日,12,0.430571,1.258808,2026-04-14,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,86,81,,,,,,39,300,每日,1,,1.061728,2026-04-14,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,767,592,,,,,,727,300,每日,17,0.782269,1.295608,2026-04-14,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,19,14,,,,,,3,300,每日,1,,1.357143,2026-04-14,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,73,60,,,,,,95,300,每日,4,2.739726,1.216667,2026-04-16,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1775,1221,,,,,,1205,300,每日,34,1.295775,1.453726,2026-04-16,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,3020,1970,,,6,447.66666667,actions:leadgen.other,2686,300,每日,78,1.887417,1.532995,2026-04-16,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),inactive,35,35,,,,,,13,300,每日,2,,1,2026-04-16,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),inactive,13,12,,,,,,16,300,每日,0,,1.083333,2026-04-20,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1205,940,,,2,311,actions:leadgen.other,622,300,每日,26,1.493776,1.281915,2026-04-20,進行中,-
2026-03-12,2026-07-21,0422_層峰席位,not_delivering,2751,1588,,,2,772,actions:leadgen.other,1544,300,每日,60,0.654308,1.732368,2026-04-20,進行中,-
2026-03-12,2026-07-21,0422_層峰席位,inactive,654,484,,,1,676,actions:leadgen.other,676,300,每日,17,1.223242,1.35124,2026-04-16,進行中,-
