分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-12-29,2026-07-14,"30-64 / 基地+6K / 小家庭+房地產(0108擴大+興趣)",inactive,22016,9004,1,1,16,230.125,actions:leadgen.other,3682,350,每日,1199,5.446039,2.445136,2025-12-29,進行中
2025-12-29,2026-07-14,"28-55 / 東區 / 年輕工程師",inactive,4665,2976,3,1,1,965,actions:leadgen.other,965,350,每日,223,4.780279,1.56754,2026-01-05,進行中
2025-12-29,2026-07-14,"30-60 / 基地+6K / 軍公教(0109擴大)",inactive,28375,12469,6,5,11,667.63636364,actions:leadgen.other,7344,350,每日,1044,3.679295,2.275644,2026-01-05,進行中
2025-12-29,2026-07-14,"30-60 / 基地+6K / 投資理財房產(0109擴大)",inactive,5631,3409,,,4,324.5,actions:leadgen.other,1298,350,每日,269,4.777127,1.651804,2026-01-05,進行中
2025-12-29,2026-07-14,"30-55 / 北區東區 / 藝術設計業",inactive,1206,1056,,,,,,340,350,每日,47,3.897181,1.142045,2026-01-08,進行中
2025-12-29,2026-07-14,"28-55 / 東區 / 育兒美食",inactive,4348,3171,,,,,,998,350,每日,154,3.541858,1.371176,2026-01-09,進行中
2025-12-29,2026-07-14,"28-60 / 基地+6K / 純房產",inactive,5119,3674,1,,3,440,actions:leadgen.other,1320,300,每日,227,4.43446,1.393304,2026-01-09,進行中
2025-12-29,2026-07-14,"28-50 / 竹科 / 金融房產投資(0112+興趣)",inactive,5141,3467,,,2,664.5,actions:leadgen.other,1329,300,每日,215,4.182066,1.482838,2026-01-09,進行中
2025-12-29,2026-07-14,"28-50 / 東區竹北 / 教育生活相關",inactive,9094,6310,1,,3,715,actions:leadgen.other,2145,300,每日,264,2.903013,1.441204,2026-01-12,進行中
2025-12-29,2026-07-14,"28-60 / 東區 / 商業自營商(0120改地點)",inactive,9565,6416,5,,3,808.33333333,actions:leadgen.other,2425,350,每日,306,3.199164,1.490804,2026-01-12,進行中
2025-12-29,2026-07-14,"28-50 / 東區竹北 / 銀行證券成家",inactive,2383,1905,2,,1,617,actions:leadgen.other,617,300,每日,91,3.818716,1.250919,2026-01-13,進行中
2025-12-29,2026-07-14,"28-50 / 東區竹北 / 工程師汽車(0127+興趣)",not_delivering,20884,10908,,,9,584.66666667,actions:leadgen.other,5262,350,每日,617,2.954415,1.914558,2026-01-13,進行中
2025-12-29,2026-07-14,"28-50 / 北區 / 金融會計",inactive,9455,6202,,,4,554.25,actions:leadgen.other,2217,350,每日,284,3.003702,1.524508,2026-01-15,進行中
2025-12-29,2026-07-14,"35-60 / 東區竹北 / 戶外活動",inactive,2922,2159,,,,,,945,300,每日,118,4.03833,1.353404,2026-01-19,進行中
2025-12-29,2026-07-14,"30-65 / 北區 / 室設裝潢",inactive,3369,2391,,,,,,921,300,每日,159,4.719501,1.409034,2026-01-19,進行中
2025-12-29,2026-07-14,"30-65 / 竹科 / 房地產",inactive,1606,1225,,,,,,656,350,每日,68,4.234122,1.31102,2026-01-20,進行中
2025-12-29,2026-07-14,"30-65 / 北區香山 / 農業漁產",inactive,3536,2713,,,1,1048,actions:leadgen.other,1048,350,每日,131,3.704751,1.303354,2026-01-20,進行中
2025-12-29,2026-07-14,"28-50 / 北區竹北 / 司法警政(0127+地點興趣)",not_delivering,12256,6097,,,5,476.8,actions:leadgen.other,2384,350,每日,333,2.717037,2.010169,2026-01-22,進行中
2025-12-29,2026-07-14,"28-50 / 北區 / 行政公務員",inactive,6217,3561,,,,,,1382,350,每日,142,2.28406,1.745858,2026-01-23,進行中
2025-12-29,2026-07-14,"28-50 / 東區竹北 / 醫學公益旅遊",inactive,4820,2761,,,1,1395,actions:leadgen.other,1395,350,每日,109,2.261411,1.745744,2026-01-23,進行中
2025-12-29,2026-07-14,"30-55 / 東區 / 食品工業研發",not_delivering,9505,5315,,,4,533.75,actions:leadgen.other,2135,350,每日,246,2.588112,1.788335,2026-01-23,進行中
2025-12-29,2026-07-14,"30-50 / 東區竹北 / 貿易口譯",not_delivering,3163,2224,,,1,706,actions:leadgen.other,706,350,每日,79,2.497629,1.422212,2026-01-27,進行中
2025-12-29,2026-07-14,"30-50 / 北區 / 業務性質",not_delivering,3314,2476,,,4,178.75,actions:leadgen.other,715,350,每日,76,2.293301,1.338449,2026-01-27,進行中
2025-12-29,2026-07-14,"28-45 / 北區 / 家庭育兒",not_delivering,3473,2761,,,2,338,actions:leadgen.other,676,350,每日,82,2.361071,1.257878,2026-01-27,進行中
