分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"28-55 / 74沿線 / 行銷設計",,,2,1403,actions:leadgen.other,2806,128,1.262576,1.177605,2025-11-20,2025-11-30
2025-10-28,2026-05-29,"28-55 / 74沿線 / 業務金融興趣",1,,1,1614,actions:leadgen.other,1614,81,1.18838,1.090386,2025-11-20,2025-11-30
2025-10-28,2026-05-29,"30-60 / 豐原潭子靜宜 / 家庭主婦興趣 / 排除IG",,,1,1842,actions:leadgen.other,1842,72,2.888087,1.170972,2025-11-20,2025-11-30
2025-10-28,2026-05-29,"28-55 / 豐原潭子中科 ／ 科技自營商L",1,,1,1712,actions:leadgen.other,1712,58,1.322389,1.082428,2025-11-21,進行中
2025-10-28,2026-05-29,"景創富美圖再行銷 / 原潮APT",,,1,1324,actions:leadgen.other,1324,78,4.193548,1.387025,2025-11-21,進行中
2025-10-28,2026-05-29,"27-55 / 十期 / 裝潢零售業",,,,,,694,21,1.717089,1.229146,2026-01-05,進行中
2025-10-28,2026-05-29,"28-55 / 74沿線 /  傳產家庭",,,,,,1212,29,1.760777,1.131181,2026-01-07,進行中
2025-10-28,2026-05-29,"再行銷 / 原潮APT",,,4,1097,actions:leadgen.other,4388,208,3.658108,2.294592,2026-03-04,進行中
2025-10-28,2026-05-29,"35-50 / 北屯太平潭子 / 上班族首購",2,1,,,,1333,43,1.709062,1.075214,2025-11-24,2025-12-03
2025-10-28,2026-05-29,"40-55 / 北屯西屯南屯 / 服務業機能取向",,,,,,1356,49,1.448419,1.09376,2025-11-24,2025-12-03
2025-10-28,2026-05-29,"30-45 / 洲際+5K / 店長人資 / 連鎖創業",2,1,2,1444,actions:leadgen.other,2888,129,2.255639,1.204254,2025-11-25,2025-12-04
2025-10-28,2026-05-29,"35-50 / 洲際+5K / 業務高收入",,,,,,1089,54,1.538462,1.066221,2025-11-25,2025-12-04
2025-10-28,2026-05-29,"35-60 / 西屯北屯 / 長輩置產(排除IG)",,,1,1767,actions:leadgen.other,1767,68,3.71179,1.308571,2025-11-28,2025-12-07
2025-10-28,2026-05-29,"30-50 / 西屯北屯潭子 / 美食旅遊興趣",1,,4,1172.25,actions:leadgen.other,4689,186,2.321808,1.235693,2025-11-28,2025-12-17
2025-10-28,2026-05-29,"27-45 / 中科西屯中清 / 財務會計",,,,,,1530,76,2.054609,1.200974,2025-11-28,2025-12-07
