分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"30-55 / 北屯潭子 / 小家庭儲蓄美食",,,4,926.5,actions:leadgen.other,3706,127,3.554436,1.381136,2026-01-26,2026-02-14
2025-10-28,2026-05-29,"30-65 / 北屯潭子 / 軍公教(0202大調",,,5,851.4,actions:leadgen.other,4257,148,3.203463,1.242938,2026-01-29,2026-02-22
2025-10-28,2026-05-29,"35-60 / 北屯北區東區 / 投資置產+退休企業主(0202大調/排除IG)",1,,1,2366,actions:leadgen.other,2366,87,3.837671,1.280791,2026-01-29,2026-02-09
2025-10-28,2026-05-29,"30-55/ 中科中清/ 出國流行文化",1,,,,,1475,43,2.596618,1.246988,2026-01-29,2026-02-09
2025-10-28,2026-05-29,30-60/大台中/重視生活質感+父母,,,1,1321,actions:leadgen.other,1321,42,2.320442,1.220499,2026-02-02,2026-02-13
2025-10-28,2026-05-29,"28-50 / 中科中清 / 年輕買房(0304改地點)",,,11,888,actions:leadgen.other,9768,375,1.473188,1.40752,2026-02-02,2026-04-18
2025-10-28,2026-05-29,"28-50 / 北屯北區 / 離鄉上班族",,,1,1417,actions:leadgen.other,1417,37,2.01087,1.189399,2026-02-02,2026-02-13
2025-10-28,2026-05-29,"30-45 / 西屯西區 / 業務性質",1,,3,728,actions:leadgen.other,2184,72,1.435693,1.247512,2026-02-06,2026-02-17
2025-10-28,2026-05-29,"30-55 / 北屯潭子 / 自營商投資客",1,,,,,930,37,2.771536,1.142002,2026-02-06,2026-02-17
2025-10-28,2026-05-29,"28-45 / 北屯 / 醫療業",,,2,1101,actions:leadgen.other,2202,94,2.092609,1.263928,2026-02-06,2026-02-17
2025-10-28,2026-05-29,"35-60 / 潭子北屯太平 / 子女置產",,,,,,1034,25,2.54842,1.187651,2026-02-06,2026-02-17
2025-10-28,2026-05-29,"30-55 / 北屯太平潭子 /  會計金融休閒",,,1,1438,actions:leadgen.other,1438,63,2.295082,1.257444,2026-02-09,2026-02-20
2025-10-28,2026-05-29,"30-55 / 北屯潭子 / 換工作搬遷",,,1,1369,actions:leadgen.other,1369,73,2.812018,1.226264,2026-02-09,2026-02-20
2025-10-28,2026-05-29,"30-60 / 豐原潭子靜宜 / 家庭主婦興趣",,,4,1005,actions:leadgen.other,4020,149,2.733443,1.856608,2026-04-14,進行中
2025-10-28,2026-05-29,30-55/中科水湳中清/科技自營商A,1,,11,564.54545455,actions:leadgen.other,6210,198,3.554758,2.010105,2026-04-14,進行中
2025-10-28,2026-05-29,30-55/中科水湳中清/科技投資理財,,,,,,496,11,2.949062,1.161994,2026-04-14,進行中
2025-10-28,2026-05-29,(test)30-55/中科水湳中清/科技自營商A,,,14,428.28571429,actions:leadgen.other,5996,721,3.197056,2.1821,2026-04-15,進行中
2025-10-28,2026-05-29,(test)30-55/中科水湳中清/科技投資理財,,,,,,614,87,3.33845,1.586123,2026-04-15,進行中
2025-10-28,2026-05-29,(test)30-55/中科水湳中清/房地產/股票,,,10,557.7,actions:leadgen.other,5577,600,3.071096,2.28985,2026-04-17,進行中
2025-10-28,2026-05-29,(test)30-55/中科水湳中清/在地餐飲/服務業,,,8,515.625,actions:leadgen.other,4125,387,2.715218,2.100973,2026-04-17,進行中
2025-10-28,2026-05-29,(test)再行銷/創景電話名單/APT,,,1,534,actions:leadgen.other,534,9,1.902748,2.598901,2026-05-27,進行中
2025-10-28,2026-05-29,(test)30-55/太原+5/房產投資/老闆輪廓,,,,,,509,34,3.247373,1.290999,2026-05-27,進行中
2025-10-28,2026-05-29,(test)30-55/太原+6/科技自營商A(備),2,,1,363,actions:leadgen.other,363,32,2.56205,1.303758,2026-05-27,進行中
2025-10-28,2026-05-29,"30-55 / 水湳北屯潭子 / 年輕人興趣",,,3,971.66666667,actions:leadgen.other,2915,108,2.480478,1.443634,2026-04-27,進行中
2025-10-28,2026-05-29,30-55/中科水湳中清/金融/電腦,,,1,1323,actions:leadgen.other,1323,33,2.740864,1.218623,2026-05-04,進行中
2025-10-28,2026-05-29,(test)30-55/水湳洲際/醫生興趣,,,,,,481,32,2.083333,1.364121,2026-05-04,進行中
2025-10-28,2026-05-29,(test)30-55/IKEA+15/科技自營商A(0507擴大),1,,2,1068.5,actions:leadgen.other,2137,234,2.708647,1.554616,2026-05-06,進行中
2025-10-28,2026-05-29,(test)30-55/中科+15/置產/醫師/高管(0507擴大),,,1,1586,actions:leadgen.other,1586,129,2.532391,1.372676,2026-05-06,進行中
2025-10-28,2026-05-29,(test)30-55/洲際+10/房地產(0511改地點),,,,,,1877,153,2.369888,1.60717,2026-05-07,進行中
2025-10-28,2026-05-29,(test)30-55/十期+8/科技新貴/旅遊,,,6,708.66666667,actions:leadgen.other,4252,390,2.393078,1.708281,2026-05-07,進行中
2025-10-28,2026-05-29,(test)30-55/中科+15/科技/旅遊/度假/信用卡,,,,,,1222,94,2.240229,1.356173,2026-05-11,進行中
2025-10-28,2026-05-29,(test)30-55/洲際+10/自由業/數位遊牧,,,1,1422,actions:leadgen.other,1422,125,2.414526,1.428532,2026-05-13,進行中
2025-10-28,2026-05-29,(test)30-55/十期+8/投資/半退休/休閒,,,7,296.85714286,actions:leadgen.other,2078,194,2.91861,1.597069,2026-05-13,進行中
2025-10-28,2026-05-29,(test)30-55/十期+8/投資/年輕首購,,,1,1247,actions:leadgen.other,1247,94,2.585259,1.502479,2026-05-18,進行中
2025-10-28,2026-05-29,"(test)30-60/中科潭子+8 /投資/半退休/休閒",,,1,1018,actions:leadgen.other,1018,82,2.302724,1.505708,2026-05-20,進行中
2025-10-28,2026-05-29,"30-55 / 十期洲際 / 3C/股票/新婚",,,,,,662,27,2.824268,1.291892,2026-05-21,進行中
2025-10-28,2026-05-29,(test)30-55/十期+8/金融保險/主管,,,1,1146,actions:leadgen.other,1146,144,3.152364,1.46881,2026-05-22,進行中
2025-10-28,2026-05-29,28-60/水湳中科+6/1%+投資市場,,,,,,658,29,2.570922,1.360676,2026-05-25,進行中
2025-10-28,2026-05-29,(test)30-55/洲際潭子/新婚/成家/教育,1,,,,,465,34,2.02743,1.335191,2026-05-25,進行中
2025-10-28,2026-05-29,(test)30-55/中科水湳中清/生活品質/置產客,,,,,,456,33,1.918605,1.266568,2026-05-25,進行中
2025-10-28,2026-05-29,28-50/十期/1%+成家,,,,,,513,21,3.220859,1.263566,2026-05-27,進行中
