分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-03-20,2026-06-02,0521_大里烏日價,inactive,6474,3307,,,3,437,actions:leadgen.other,1311,8400,總經費,348,1.498301,1.957666,2026-04-24,2026-06-19
2026-03-20,2026-06-02,0521_大里烏日價,inactive,5084,2663,3,,2,538.5,actions:leadgen.other,1077,9100,總經費,166,1.31786,1.909125,2026-05-15,2026-06-19
2026-03-20,2026-06-02,0521_大里烏日價,inactive,4753,2328,,,3,435.33333333,actions:leadgen.other,1306,13200,總經費,179,1.409636,2.041667,2026-04-21,2026-06-19
2026-03-20,2026-06-02,0514_南區獻定,active,5865,3624,,,5,192.2,actions:leadgen.other,961,250,每日,79,0.988917,1.618377,2026-05-28,進行中
2026-03-20,2026-06-02,0417_興大智醫,active,781,535,,,,,,208,250,每日,14,1.024328,1.459813,2026-05-28,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,10920,5199,1,,6,374.5,actions:leadgen.other,2247,3500,總經費,229,0.512821,2.100404,2026-04-02,2026-05-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,1668,1185,,,,,,424,4000,總經費,32,0.59952,1.407595,2026-04-02,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,4190,2188,3,1,1,1078,actions:leadgen.other,1078,3500,總經費,92,0.453461,1.914991,2026-04-04,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,5141,3051,2,3,3,1260,actions:leadgen.other,1260,4000,總經費,102,0.52519,1.685021,2026-04-08,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,2784,1923,1,,1,821,actions:leadgen.other,821,4000,總經費,71,0.682471,1.447738,2026-04-08,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,3593,2412,3,1,2,426.5,actions:leadgen.other,853,3200,總經費,93,0.890621,1.489635,2026-04-11,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,inactive,7296,3806,1,1,5,429,actions:leadgen.other,2145,6500,總經費,204,0.671601,1.916973,2026-04-11,2026-05-26
2026-03-20,2026-06-02,0320_首波pop,inactive,1857,1402,,,,,,625,6000,總經費,36,0.592353,1.324536,2026-04-13,2026-05-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,1684,1196,2,1,,,,538,2000,總經費,49,0.950119,1.408027,2026-04-13,2026-04-19
